stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,14.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,4.81,0,0,0,0,0
 24-34,0,0,0,0,0,0,193.95,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,5.86,0,0,0,0,0
 36-46,0,0,0,0,0,0,235.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.77,0,0,0,1.35,0,0,4.68,0,0,0,0,0
 48-58,0,0,0,0,0,0,482.26,0,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0,2.4,31.43,0,0,0,0,0,0,3.74,0,0,0,0,0
 60-70,0,0,0,0,0,0,4495.78,0,0,0,2.89,0,0.93,0,5.54,0,0,0,0,9.46,0,0.68,0,82.14,0,0,0,2.94,0,0,15.67,0,0,0,0,5.87
 72-82,0,0,0,27.1,26.41,0,10924.93,6.88,1.35,0.56,34.27,6.31,4.94,0.67,0,10.17,2.11,3.76,11.22,60.78,0,4.43,8.9,293.89,0.53,2.54,1.55,14.56,0,0,49.11,1.21,2.74,4.03,1.09,11.04
 84-94,0,0,2.61,38.05,5.95,0,11660.76,1.12,2.97,5.14,23.79,0,0,0.74,0,0.7,0,2.4,0,27.55,6.94,9.39,12.95,111.06,3.12,1.17,0,20.78,0,0,8.87,0,0,2.65,1.63,1.74
 96-106,0,0,2.45,26.72,31.23,0,9435.49,4.58,4.13,3.82,29.96,0,0,4.16,9.04,10.27,0,10.52,0,67.05,1.15,0,5.17,242.75,0,0.87,1.9,16.21,0,0.9,6.7,3.44,2.17,16.5,0.68,21
108-118,14.87,0,0,13.18,7,0,7442.17,6.53,0.82,4.48,45.94,1.9,0,3.83,0.98,0,1.2,6.11,2.82,63.23,2.16,3.06,6.61,227.05,0.83,1.98,0.44,11.06,1.36,0,16.02,1.84,3.03,8.9,3.66,14.48
120,0,0,0,16.69,7.19,3.69,6369.2,0,2.19,1.29,59.05,0,3.15,6.52,2.21,0,5.32,1.84,0,26.55,0,0,0,167.58,0,10.22,3.28,8.55,0,0,2.78,0,9.32,0,0,0
