stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.3,51.34,0,0,0,0,0,0,0,0,0,0,14.87,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.57,5.11,0,0,3.2,0,0,0,0,0,0,29.29,0,0,15.11,0,0,0,0,0,0,0,0
 10-12,0,4.29,0,0,0,8.28,0,0,0,0,0,0,39.91,0,0,24.57,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,1.07,0.8,1,1.11,0,0,0
 24-34,0,0,0,0,0.69,0.84,0,0,0,0.65,0,0.71,25.13,2.8,0.64,0,0.86,0,0,0.66,3.64,0,0,0
 36-46,0,0,0,0,0,1.66,1.38,0,0,0,0,0,20.51,0,0,0,0,0,0,0,2.37,0,0,0
 48-58,0,0,0,0.67,0,15.01,3.16,0,0,0.43,1.94,0,21.22,0,0.7,0,0.46,0,0,0,3.81,0,0,0
 60-70,0,0,0,0,0,3.76,1.16,0,0,0,11.49,0.6,15.12,0,0,0,3.17,0,0,0,1.18,0,0,0
 72-82,0,0,0,0,0,4.93,0.7,0,0,0,0.58,5.2,12.63,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.84,0,1.92,1,0,2.71,0,0.83,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.04,2.7,0,0,0,2.81,0,9.77,1.76,0.98,0,0,0,0,0,0,0,0,1.41
108-118,0,0,0,0,0,5.22,0,0,0,0,3.05,0,5.45,0,0,0,0,0,0,0,0,1.29,0,0
120,0,0,0,3.12,0,1.08,1.99,0,0,0,0,0,27.38,0,0,0,1.15,0,0,0,0,0,9.56,0
