stage,blastomeres,epidermis,eye,fin.epithelia,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature,xanthophores
  5-6,41.4,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.31,11.62,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0.84,0,1.35,3.67,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.03,1.68,0,0,0,0,0,0
 36-46,0,0,0.58,0,0,0,0,6.3,1.12,0,0.84,5.79,0,0,0,0.73,0,0
 48-58,0,0,0.46,0,0,0.38,0,0,0,0,0,3.37,0,0,0.55,0,0,0
 60-70,0,0,0.84,0,0,0,0,0.93,0,0,0,0,0,1.21,0,0,0,0
 72-82,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0.68,0,0.75,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0
 96-106,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,2.2
108-118,0,2.12,0,0,1.6,0,0,0,0,0,0,4.61,0,0,0,0,0.54,0.83
120,0,10.64,0,0,0,1.4,2.12,0,0,0,0,7.11,0,0,0,0,0,0
