stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,hatching_gland,iridophores,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,24.45,182.93,0,0,0,0,0,0,0,0,0,0,10.49,0,0
  5-6,6.54,43.41,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.43,0,0,0,0,0,13.68,0,5.41,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.81,0,0,8.81,0,0,0
 14-21,0,0,0,0,0,0,0,0,4.36,0,0,0,0,1.2,3.01
 24-34,0,0,0,0,0,0,0,0,16.72,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,20.51,1.12,0,0,0,3.44,0
 48-58,0,0,0,1.72,0,0,0,0,7.03,0,0,0,0,2.01,0
 60-70,0,0,0,0,0,1.01,0,0,16.68,0,0,0,0,0.82,0
 72-82,0,0,0.98,13.78,0,0,0,0,13.11,0,0,0,0,1.09,0
 84-94,0,0,0,6.71,0,2.97,0,1.25,34.25,0,0,0,0,0,0
 96-106,0,0,0,2.02,0,0,0,0,14.55,0,0.74,0,0,0,0
108-118,0,0,0,12.74,0.73,2.66,0,0,14.55,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,40.79,0,0,0,0,0,0
