stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0
  5-6,0,36.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.41,0,0
  7-9,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,31.2,0,0,0,17.24,8.28,0,0
 10-12,0,0,16.49,0,5.35,0,0,0,14.55,0,0,0,0,0,0,67.12,6.07,0,0,39.93,13.57,6.77,0
 14-21,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0
 24-34,0,0,0,0.93,0,1.57,0,0,0,0,0.81,0,0.82,3.9,0,0,0,0,0,0,44.04,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.87,0,0,0,0,57.66,0,0
 48-58,0,0,0,0,0,2.61,0,0,0,0,7.33,0.97,0,0,0,0.56,0,0,0,0,38.98,0,0
 60-70,0,0,0,3.13,0,0,0,0,0,0,0,2.21,1.67,0.63,0,12.92,0,0,0,0,48.01,0,0
 72-82,0,0,0,2.87,0,1.26,2.06,0,0,0,0.83,0.6,4.15,5.72,0.51,0,0,0,0,0,8.87,0,2.3
 84-94,0,0,0,7.97,0,1.14,0,0,0,0,0,0,0,1.72,0.91,0.81,0,0,1.56,0,43.41,0,0
 96-106,0,0,0,1.38,0,0.76,0,0,0,1.05,0,0,11.56,0,0,1.54,0,1.2,0,0,23.39,0,0
108-118,0,0,0,2.3,0,0,0,1.61,0,0,0.64,0,0.6,0,0,1.43,0,0,2.63,0,19.71,0,0
120,0,0,0,6.09,0,0,0,0,0,0,3.02,0,0,0,0,23.18,0,0,2.44,0,41.29,0,0
