stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,114.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0
  5-6,6.7,17.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.04,5.48,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0,93.39,0,0,0,6.96,0,0,0,0,0,0,0,0
 10-12,0,10.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.88,0,0,0,28.52,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.86,0.93,0,3.4,0,0,0,0.85,0,0,0,0,3.2,0,4.17,73.15,0.8,0,0,2.38,0,5.19,1.13,0.83,16.81,17.46,0,0
 24-34,0,0,0,0,0,0,0.69,0.72,0.74,0.62,0,0,1.02,0,0,3.35,0,0.6,49,0.66,0,0.83,0,0,0,0.94,0,0.62,10.14,0,0
 36-46,0,0,0,0,1.5,0,6.44,0,0,0,0,0,0,0,0,2.2,0,0,23.7,0,0,0,0,1.27,0,0,0,0,8.02,0,0
 48-58,0,0,0,0.39,0,0,11.41,0,0,1.39,0,0,0,0,0,4.34,0,3.45,36.01,1.48,0,0,0,0,0,0,0,0,1.92,0,0
 60-70,0,0,0,2.08,0,0,25.46,0,0,1.23,0,0,0,5.41,0,2.46,0,0.59,22.56,0,0,0,0,0,0,0,0,0,5.11,0,0.71
 72-82,0,0,0,0,0,0,16.02,0,0,0,0.9,0,0,0,0,3.38,0,0.49,20.91,0,0,0,0,0,0,0,0,0,4.61,0,0
 84-94,0,0,0,0,2.81,0,2.98,0,0,0,0,0,0,0.57,0,6.38,0.84,0.63,22.68,0,0,0,0,8.97,0,0.9,0,0,0,0,0
 96-106,0,0,0,0.68,2,0,0,0,0,0,0,0,0,0,0,0.73,0,0,11.78,0,0.87,0,0,0.89,0,0,0,0,0.57,0,0
108-118,0,0,0,0.94,0,0.52,9.88,0,0,0,0,0,0,0.85,0.56,5.37,0,0.44,13.26,0,0,1.46,0,0.51,0,0,0,0,0,0.94,0
120,0,0,0,7.4,0,0,7.68,0,0,0,0,0,0,1.23,0,3.04,0,1.36,32.72,0,0,0,0,0,0,0,0,0,0,3.25,0
