stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,47.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,0
  5-6,0,91.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.6,0,0,19.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,135.71,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.99,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.04,144.59,2.76,0,0,0,0,3.17,0,0,0,19.55,0,0,0,139.17,0,0,453.78,55.71,3.09,0,0,0.83,0,5.27,19.73,0,14.87,22.58,0,0,0,0,0
 24-34,0,0,0,60.26,2.17,5.38,0.86,0,20.15,18.11,0.67,0,0,77.45,0,0,2.61,363.46,3.38,0,719.96,97.09,0,1.01,1.29,0,0,24.75,8.49,0,24.21,40.6,0,0,2.95,0,0
 36-46,0,0,0,22.46,0,7.77,0,0,117.27,11.54,0,0,0,22.68,0,0,0,325.89,0,0,548.94,59.36,0,0,0,0,0,8.93,17.33,0,0,36.9,0,0,0.65,0,0
 48-58,0,0,0,53.48,0,10.69,0,4.87,128.57,7.61,0.85,0.77,0,36.07,4.5,0,0,495.07,4.08,0.48,233.37,55.76,0,0,0,0,0,4.06,0,0,0,18.11,0,0,0,0,0
 60-70,0,0,0,68.25,0,36.61,0,0.91,99.46,14.96,2.81,0,0,45.57,0,0,0,477.04,0.57,0.65,109.01,79.44,0,0,5.85,0,0,5.54,0,0,0,2.11,11.76,3.15,1.12,0,0
 72-82,0,0,0,134.74,0,81.64,0,1.33,197.71,6.03,10.86,0,0,105.05,0,0,3.14,769.55,21.3,3.62,149.13,88.61,0,4.93,0,0,4.48,5.84,0,0,0,10.62,77.57,9.06,0,0.93,1.88
 84-94,1.23,0,0,247.93,0,76.47,0.88,2.63,135.35,11.98,31.81,0,0,164.17,0.66,0,1.5,671.79,6.4,1.56,82.62,34.23,0.64,3.89,2.08,0,0,27.45,0,0.67,0,11.43,195.4,4.97,6.05,2.19,0
 96-106,2.25,0,0,273.4,5.59,63.38,0.64,4.51,110.34,9.83,64.25,0,0.56,142.6,0,1.33,5.43,652.51,18.39,5.99,89.57,93.98,0,0.96,0.6,0,3.52,24.23,0,0,0,0,224.41,1.76,11.73,1.85,3.54
108-118,0,0,0,260.04,2.97,22.28,0,3.3,129.9,15.6,53.91,0,2.36,146.16,0.79,0,0,866.25,9.78,8.8,85.55,73.79,0,0.77,0,0,5.9,18.04,0,0.43,0,0.64,181.5,9.65,2.4,0,0
120,0,0,0,271.18,5.84,43.05,0,12.27,108.36,0,49.04,0,10.09,55.46,0,6.98,3.61,626.55,13.65,10.27,42.47,61.43,0,10.46,2.56,0,0,28.75,0,0,0,0,105.04,0,0,3.35,0
