stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord
  3-4,0,54.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.73,46.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.3,0,0,0,0,0,0,0,0,0,0,3.54,4.44,0,0,0,0,0,0
 10-12,0,0,4.3,0,0,0,0,0,0,0,0,0,12.86,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,26.53,0,0,0,0.84,0,10.98,1,0,0,2.66,68.47,3.01,23.6
 24-34,0,0,0,0.8,0,0,378.67,0.69,0.73,1.16,1.31,1.65,39.18,0,0,1.1,9.69,69.61,0,223.74
 36-46,0,0,0,0.72,2.95,0,431.5,0,0,0,9.68,0,63.16,0,5.77,0,0,66.76,0,301.28
 48-58,0,0,0,0,6.65,1.09,92.55,0,0,0,0,0,21.01,0,1.35,0,0,27.37,0,64.14
 60-70,0,0,0,5.49,1.54,0,22.29,0,0,0,2.95,0,13.78,0,0,0,0,1.67,0,24.04
 72-82,0,0,0,0,14.51,0,26.37,0,0,0,0,0,4.29,0,0,3.18,0,0,0,0
 84-94,0,0,0,0.61,8.41,0.85,9.65,0,0,0,0,0,2.87,0,0,0,0,0,0,17.95
 96-106,0,0,0,0,31.38,1.79,1.65,0,0,0,3.63,0.84,3.16,0,0,0,0,0.6,0,42.04
108-118,0,0,0,0,29.09,0,13.35,0,0,0,5.27,0,18.93,0,0.54,0,0,0,0,3.79
120,0,0,0,0,6.39,0,0,0,0,0,0,0,10.65,0,1.77,0,0,0,0,0
