stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,0,0,0,0,0
 14-21,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,11.68,0,0,0,1.05,0,3.26,636.35,906.14,2.6,0,0,0,0
 24-34,0,0,0,1.6,2.43,118.13,0,0,0,0.69,0,0.71,0,0,10.67,0,6.41,0,3.65,102.32,108.76,0,0,0.76,0,3.58,0,291.34,625.24,15.74,0,0.65,0,0.78
 36-46,0,0,10.24,0,4.44,196.28,0,1.09,1.43,0,0,0,0,0,0,0,2.58,0,0,49.23,44.16,0,0.81,0,0,6.36,0,137.54,47.48,4.27,0,0,0,1.06
 48-58,0,0,0,0,10.4,130.21,0,0.74,1.04,0,0,7.48,0,0,0,3.34,7.22,0,0,49.17,62.98,0,0,0,0,5.98,0,76.17,0,18.75,0,0,0,0
 60-70,0,0,0,0,29.3,119.02,0,0,6.25,0,0,0,0,0,0,0,4.1,0,2.41,42.5,19.28,0,0,0,1.62,0,0,39.79,0,2.45,0,1.15,0,0
 72-82,0,0.58,0,2.17,19.66,91.35,0,0,4.93,0,0,0,0,0,0,0,10.94,0,0,31.48,21.77,0,0,0,0,0.51,0,34.97,0,4.21,0.76,0,0.79,0
 84-94,0,1.53,2.49,4.98,33.31,131.27,0,1.27,2.31,0,0,0,1.74,0,0,0,6.6,0,0,33.47,23.18,0,0,0,0,4.1,0,26.96,0,5.88,0,0,0,0
 96-106,0,0,0.64,10.13,21.54,157.46,1.91,0,5.02,0,0.99,0.65,0,1.48,0,0,38.62,0.97,3.6,35.19,53.5,0.7,1.84,0.6,2.41,12.03,0,38.29,0,2.43,0,2.98,0,0
108-118,0,0,0,1.75,51.26,132.03,0,0,2.19,0,0,0,0,0,1.59,0,24.62,1.14,1.62,58.29,29.58,0,0,1.13,0,7.12,0,28.93,0,1.86,0.5,3.96,0,0
120,0,0,0,0,16.94,153.02,0,0,0,2.8,0,0,0,0,0,0,23.81,0,0,70.39,30.29,0,0,0,0,0,0,26.7,0,0,0,0,0,0
