stage,erythrocytes,immune,mural_cell,neural,vascular_smooth_muscle,visceral_smooth_muscle
 60-70,0,0,0.71,0,0,0
 72-82,0,6.72,0,0,0,0
 84-94,0.7,0,0,0,0,0
 96-106,0,0,0,2.87,2.45,0
120,0,1.29,0,0,0,1.05
