stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.74,0,0,0,0,6.67,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,50.56,0,0,0,14.94,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.87,29.96,0,0,55.06,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.26,0,0,4.32,0,0,0,2.58,0,0,0.81,0,0,0,0,0,0,2.01,0,0,8.2,24.12,11.07,1.74,5.37,0,0,5.09,8.46,0.89,9.51,31.66,6.3,0,0,0,0
 24-34,0,0.65,6.19,0,0,12.81,10,1.53,0,0,0.64,0,0,0,1.49,0,0,6.31,0,7.27,0,0,18.87,80.48,1.01,0,2.33,0,0,2.54,0.71,13.82,35.57,18.37,14.42,0,11.81,0,0
 36-46,0,0,16.89,0,0,25.93,25.6,2.04,0,5.24,0.58,0,0.89,0,0.56,0,0,8.02,0,7.54,0,0,10.36,73.18,1.3,2.76,3.52,0,0,18.26,0,25.23,70.6,1.78,8.3,0.85,0,0,0
 48-58,0,0,5.52,0,0,45.27,40.33,0,0,16.42,3.77,0,0,0,0,0,0,1.29,1.18,4.01,0.48,0,12.93,113.32,0.45,1.07,0,0,0,4.46,0,20.02,67.64,0,14.08,0,3.8,0,8.25
 60-70,0,0,3.01,0,0,136.35,11.93,6.22,4.61,18.44,3.19,0,2.24,0,0,1.16,0,2,0,24.6,0,0.63,6.04,54.36,0,0,0,0,1.22,5.16,0,35.9,39.44,0,5.66,0,0.96,0,6.55
 72-82,0,0,2.13,3.1,0,85.09,6.39,0,6.68,11.54,14.6,0,0,0,1.28,0,1.69,0,0,20.44,0,0,4.07,88.56,0,0,4.42,0,0,5.3,0,61.69,13.54,0,15.07,0,0.66,0,4.13
 84-94,0,2.22,2.55,3.31,0,144.6,7.87,0.77,0,16.72,24.47,0,0,0.64,1.32,0,0,5.84,1.4,23.15,0,0,5.19,74.91,0,0.9,0,0,0,5.47,0,118.17,18.06,0,5.04,0,5.61,0,0
 96-106,0,0,5.38,21.9,2.3,155.91,4.7,0,0,25.89,20.04,0,0,1.31,0,0.6,0,16.37,8.08,29.39,0,0,7.93,86.77,0,3.98,1.85,0,9.58,7.79,0,97.62,32.56,0,0,0,1.05,1.27,11.26
108-118,0,0,5.02,0.88,12.6,222.58,5.22,0,3.61,26.26,18.42,0,0.44,0.68,0.54,9.06,0,18.73,0.51,26.75,0,1.93,9.4,41.7,2.77,0,16.51,0,2.24,23.89,0,115.25,19.85,0,0,0,1.42,0,1.91
120,0,0,9.39,2.74,2.09,133.34,4.71,2.68,1.52,30.82,40.9,0,0,3.52,0,10.7,0,45.5,0,40.69,0,0,12.3,103.14,3.03,4.09,0,0,0,3.98,0,73.81,13.99,0,15.97,7.08,1.48,3.54,0
