stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,0,0,0,7.47,0,0,0,0,0,0,0,0
 14-21,0,2.17,2.67,2.9,0,0.89,0,0,0,0,0,0.81,0,0,0,0,0,2.25,0,0,6.83,12.65,0,0,0,0,0,0.87,0.9,9.78,0,0,1.01,0,0
 24-34,0,0.66,2.9,0,0,3.65,0,0,0,0,0,3.98,0,0,0,0.72,0,3.73,0,0,6.14,153.31,1.3,0.82,1.32,0.63,3.83,0,1.68,88.93,0,0,0.76,0,0
 36-46,0,0.85,0,0,0,5.69,0.7,2.79,0,1.22,0,0.88,0,0,0.88,0,0,10.74,0,1.06,4.8,335.31,0.68,8.3,0,8.48,0,0,0,87.58,0,0,0.58,0,1.73
 48-58,0,1.92,0,0,0,42.08,1.56,0,0,22.13,0,0,0,0,10.22,0,0,12.53,0,0,1.29,782.45,3.66,0,0,2.93,0,0,0,90.73,0,0,8.73,0,0
 60-70,0,0,3.02,0,0,105.25,0,3.05,0,3.5,0,0,0,0,0,0,0,26.83,0,0,0.59,1198.83,0,0,9.37,0,2.54,1.67,0,82.57,0,0,0,0,0
 72-82,0,1.18,7.12,6.1,0,190.69,0,0,1.28,21.71,0.5,0,0,0,0,0.79,0,8.49,0,4.32,0.88,1513.43,0,0,16.71,0,0,0,0,95.27,0,1.21,2.11,0,0
 84-94,0,1.65,23.59,0,0,149.04,0,2.74,2.42,9.59,0,0,0,0,0,0.66,0,7.95,0.71,0,0,1167.24,0,0,14,4.09,0,0,0,73.4,0.59,0,0,0,0
 96-106,0,4.08,11.31,1.23,0,177.93,10.44,0,0,14.66,3.17,0,0,0.74,1.03,0,38.06,16.04,0.69,0,1.29,1070.87,0,0,20.35,3.26,0,0,0,52.7,2.04,1.23,0,1.93,3.35
108-118,0,0,10.16,3.98,2.08,190.88,1.3,0.52,0,23.66,0,0,0,0.69,2.65,0.74,0,12.57,0,0,0.42,1080.38,0,1.07,9.78,0,0,0,0,36.68,0.77,0,1.07,1.11,0.83
120,0,0,30.35,2.02,0,220.06,1.33,0,0,39.86,0,0,4.77,0,11.36,1.77,0,3.53,0,0,2.38,1995.94,0,0,38.21,0,0,0,0,44.67,0,0,1.07,0,0
