stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,24.71,0,0,0,5.44,0,0,0,0
 14-21,0,0,0.98,0,0,23.01,0,0,0,0,0,0,0.99,59.72,132.75,0,0,74.64,55.86,0,0,0
 24-34,0,0,1.06,13.46,0.6,10.98,0,0,0,0,0,0,0,102.93,203.99,0,0,56.24,31.87,0,0,0
 36-46,0,0,0,0,0,3.13,0,0.65,0,1.72,2.14,0,0,126.47,142.31,0,0,19.5,19.35,0,0,0
 48-58,0,0,0,2.19,0,6.16,0,0,0,0,0.56,0,0,68.34,38.86,1.14,0,6.51,10.88,0,0,0
 60-70,0,0,0,0.78,0,0,0,0,0,0,0.56,1.53,0,36.67,30.96,0,0,2.88,17.78,0,0,0
 72-82,0,0,0,0.97,0,6.13,0,0,0,0,0,0,0,7.84,44.31,0,0,4.24,5.97,0,0,2.9
 84-94,0,0,0.69,4.22,0,4.49,0,0,0,0,0,0,0,7.79,35.88,2.01,0,5.57,17.35,0,0,0
 96-106,0,0.58,1.82,0.98,0,0,2.17,0,0.56,0,0,0,0,3.76,62.35,4.14,0.68,3.99,9.28,0,1.42,0
108-118,0,1.7,0,2.95,0,2.51,0,0,0,0,0,0,0,13.84,40.81,3.35,0,8.78,11.68,0.89,0,0
120,0,0,0,9.67,0,2.4,0,0,0,0,0,0,0,93.48,26.3,0,0,11.45,0,0,0,0
