stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.99,153.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.31,165.44,23.15,0,0,2488.22,0,0,0,0,0,58.15,0,0,0,0,0,0,0,0,0,0,0,2836.02,15.9,0,0,175.87,0,0,6.94,0,0,0,0,0,0,0,0,0,0
 10-12,0,212.85,69.51,0,0,2469.26,0,0,0,0,0,12.76,0,0,0,0,0,0,0,0,0,0,0,6317.19,39.89,0,0,328,0,15.72,0,0,16.93,0,0,0,0,0,0,0,0
 14-21,0,0,2.53,61.86,5.72,66.32,0,1.7,0,19.02,4.82,1.79,0,0,0,0.87,0,0,1.01,34.72,0,0,22.05,1667.79,5.98,1.02,3.26,9.48,0,2.28,0,15.55,0,0,13.19,375.83,0,0,0,0,13.11
 24-34,0,0,1,43.51,1.89,97.47,0,8.74,9.79,52.74,1.95,0,2.14,0.9,0,2.78,0.75,0,4.97,100.12,0,2.43,34.26,1857.92,0,2.8,0.82,0,0,9.94,0,0,4.31,0,5.42,389.12,0,0,11.27,0,71.64
 36-46,0,0,0,22.63,0,102.74,3.65,35.25,59.22,105.19,0,0,0,2.07,0,11.55,3.7,0,14.52,153.89,0,1.61,45.81,1166.45,10.2,1.87,0,0,0,0,0,0,0.59,4.22,0,337.25,0,0,1.15,0,106.77
 48-58,0,0,0,31.69,0,76.58,3.89,27.5,148.7,137.35,0,0,2.01,3.41,0,32.11,0.97,0,6.74,340.83,0.53,17.31,75.53,594.19,0.51,0.4,5.33,0,0.4,5.29,0.65,0,2.65,0,0,231.68,0,1.35,1.28,0.78,178.37
 60-70,0,0,0,78.06,0,100.58,0.58,66.55,163.51,148.6,0,0,4.36,14.79,0.61,17.71,0,2.01,6.22,646.78,0,2.97,77.08,433.84,0,0,0,0,2.4,7.77,0,0,7.84,0.76,0,93.27,0,5.63,0,1.06,252.3
 72-82,0,0,0,36.39,1.33,169.8,3.04,13.69,244.5,174.43,0,0,10.38,6.45,2.59,46.71,7.82,3.29,11.46,996.75,0,23.69,107.57,535.49,0,1.28,2.42,0,1.67,7.91,0,0,1.6,0,0,72.81,0.74,16.98,1.6,14.78,338.16
 84-94,0.62,0,0,96.29,5.9,145.34,0,22.74,164.59,125.1,2.26,0,7.39,4.91,4.8,52.43,1.71,1.81,4.79,686.8,0,40.15,67.1,401.45,0.62,0,2.74,0,24.49,2.74,0,0,9.96,0,0,49.84,0.55,13.44,0.65,22.15,305.85
 96-106,0,0,0,111.18,0,104.87,3.29,24.78,230.09,156.91,5.21,0,9.94,26.71,0,86.3,0,8.48,1.36,917.14,1.23,19.18,76.34,329.51,0,0,12.75,0,2.11,1.25,0,0,3.22,0,0,17.29,0,32.38,4.94,19.35,333.12
108-118,0,0,0.49,92.73,0,110.81,2.86,35.21,128.13,160.91,13.24,0,1.77,22,2.14,166.92,1.8,2.85,7.81,968.89,0,25.4,70.58,448.54,0,3.38,5.78,0,9.88,1.75,0,0,6.03,0.48,0,13.15,0.41,23.38,4.29,10.44,291.51
120,0,0,0,97.49,1.46,97.11,4.91,31.2,110.68,264.41,16.79,0,2.63,70.5,0,90.35,1.84,0,15.3,978.28,3.31,23.95,40.32,690,0,0,5.17,0,7.72,1.31,0,0,6.54,6.93,0,36.98,5.42,31.01,0,25.7,159.56
