stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.59,0,0,0,18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0,3.79,0.82,1.76,3.54,0,0,0,0,0
 24-34,0,0,0,1.31,0,0,8.6,0,0,0,0,0,0,0,1.06,12.69,0,0,0,0,3.46,0,0,1.92,63.44,1,1.41,2.48,0,0,5.24,0,6.53,41.08,0,0,0.72,0,0
 36-46,0,0,0,0.84,0,0,5.13,3.86,8.17,0,0,0,0,0,0,6.5,0,0,0,0,4.95,1.5,2.04,0,285.5,4,1.14,0,0,0,2.41,0,5.9,65.06,0,0,0.93,0,1.22
 48-58,0,0,0,7.4,0.37,0,75.7,1.89,0.45,0,7.38,0.49,0,1.28,0,1.46,6.72,3.08,0,0.5,11.43,0.52,0,1.46,493.6,0,0.77,0.63,0,0,10.41,0,6.72,92.99,0,0,2.11,0,8.04
 60-70,0,0,0,6.4,0,0,268.74,7.36,3.34,13.99,39.76,0,1.34,0,1.88,3.34,0,9.03,0,0,19.77,0.62,0,0,808.26,7.47,0.84,5.62,0,0,16.97,0,19.42,154.66,0,0,1.84,0.59,5.02
 72-82,0,0,0.69,14.41,10.31,1.04,366.86,5.15,1.35,5.22,78.08,1.94,0.6,0,1.53,4.97,2.65,7.33,0,0,47.86,1.05,5.55,1.13,873.76,0,10.8,7.78,0,0,8.33,0.66,6.62,86.82,3.96,0,11.16,0.71,3.58
 84-94,0,0,3.58,7.52,32.64,2.25,330.8,4.29,8.55,6.06,71.54,5.54,3.59,0.8,1.57,3.67,3.39,1.89,1.69,6.89,90.09,10.9,6.18,4.46,536.28,9.97,0.9,12.19,0,0,23.63,2.84,4.23,96.9,0,0.75,11.3,0,0
 96-106,0,0,0.61,11.92,50.89,2.64,328.35,6.96,2.81,0.74,67.54,13.83,0,0,3.71,15.34,0.64,5.74,30.6,0,54.45,24.01,13.55,5.94,578.85,1.52,12.74,21.54,0,1.44,52.27,0.71,4.02,47.16,1.92,3.93,5.88,0,0.62
108-118,0,0,0,28.77,3.62,13.62,275.02,10.99,1.89,1.24,80.61,8.35,0,1.52,6.28,6.17,3.66,1.91,10.1,0.94,64.65,3.27,2.15,8.78,638.38,3.92,0,12.77,0,1.02,19.49,1.49,4.04,48.92,2.43,6.06,16.55,0,1.04
120,1.12,0,0,52.41,20.35,1.91,378.74,8.58,12.51,12.74,129.89,26.65,0,0,22.15,7.32,11.36,1.77,2.98,0,53.14,1.12,9.54,7.08,905.28,7.66,2.63,31.73,0,0,16.33,7.32,6.58,68.54,6.52,0,4.85,0,0
