stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,9664.5,231979.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9725.29,0,0,0,0,0,0,0,0
  5-6,23790.82,427542.48,148.53,0,0,0,0,0,0,244.44,0,0,0,0,0,0,0,0,1969.1,303.96,0,0,489.15,10212.9,0,0,0,0,0,0,0,0
  7-9,846.53,1905.05,3377.04,0,6.96,9113.03,0,0,0,5217.31,0,0,0,0,0,0,0,0,63332.47,1728.08,0,0,6925.89,188.63,544.93,0,0,0,0,0,0,0
 10-12,3.8,420.32,600.08,0,51.93,1275.23,0,0,0,1215.87,0,0,0,0,0,0,0,0,10799.55,205.52,0,0,1829.29,16.57,81.55,0,362.91,0,5.26,13.92,0,0
 14-21,2.31,0,30.09,1407,39,3.79,0,99.03,55.89,4.23,1.3,0,3.07,0,0,71.61,0,53.46,974.87,63.51,0,10.05,92.34,284.64,27.76,66.33,14.26,4.06,18.82,1417.97,0,0
 24-34,0,0,0,13.32,1.09,4.16,0,46.99,6.79,0,0,0,0,0,0,17.23,0.83,1.75,218.68,0,2.2,0,0,15.56,0,0,0,0,6.29,386.55,0,1.6
 36-46,0,0,0,1.9,0,3.65,0,5.68,0,0,0,0,0,0,6.28,7.4,0,0,39.64,0,0,0,0,4.68,0,0,0,0,0,72.7,0,0
 48-58,0,0,0,0.88,0,2.01,0,0.66,0,0,1.09,0,0,0,0,3.8,0,0,16.42,0,0,0,0,0,0,0,0,0,0,18.42,0,0
 60-70,0,0,0,0,0,14.87,0.73,0,0,0,0,0,0,0,0,10.98,0,0,2.91,0,0,0,0,0,0,0,0,0,0,2.59,0,0
 72-82,0,0,0,0,4.81,7.27,0,0,0,0,0,0,0.53,2.21,0,0.7,0,0,5.31,0,0,0,0,0.62,0,0,0,0,0,0.58,0,0
 84-94,0,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,7.47,0,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0,1.31
 96-106,0,0,0,0.96,2.95,0.58,0,2.18,0,0,0.68,0,0,0,5.9,14.4,0,0.62,15.62,0,0.67,0,0,1.73,0,0,0,0,0,0.98,1.24,0
108-118,0,0,0,0,0.99,0,0,2.04,0,0,0,0.42,0,0,3.61,8.69,0,0,13.01,0,0,0,0,0.66,0,0,0,0,0,0,0,2.81
120,0,0,0,0,13.94,0,0,0,0,0,0,3.23,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0
