stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,51.99,148.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.46,118.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.45,0,0,0,0,0
  7-9,24.71,0,23.99,0,0,11.32,0,0,9.18,0,0,0,0,0,0,163.14,0,0,0,69.87,0,0,0,0,0,0
 10-12,0,14.4,7.42,0,0,8.56,0,0,0,0,0,0,0,0,0,156.89,0,0,0,65.36,0,0,0,0,0,0
 14-21,0,0,3.32,1.04,0,1.01,0,0,0,0,0,0,0,0,0,4.81,1.02,0.86,0,0,0,1.53,1.18,0,2.22,3.13
 24-34,0,0,0,0,0,1.43,0,0,0,0,0,0,1.25,0,0,3.64,0,0,0.64,0,0.68,0,0,0,0,1.39
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0.57,12.95,0,0,0.61,0,0,0,0,0,0,0.66
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,1.08
 60-70,0,0,0,0,0,4.69,0,1.46,0,0.6,0,0,0.76,0,0,0.96,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.6,1.14,3.43,0,0,0,0.88,0.88,0,0,0.52,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.39,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,3.77
 96-106,0,0,0,0,0.98,1.84,0,1.33,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.56,0,0.47,5.03,0,0,0,0,0,0,0,2.84,0,0.43,0,0,0,0,0,0,0,0
120,0,0,0,0,2.42,1.1,0,2.33,0,0,1.75,1.06,0,0,0,10.59,0,0,0,0,0,0,0,1.97,0,0
