stage,eye,liver,mesenchyme,neural,olfactory,periderm
 24-34,0,0,0,1.63,0.76,0
 36-46,0,0,0,0,0,1.19
 48-58,0,0,0,0.97,0,0
 60-70,1.6,0,0,0.79,0,0
 72-82,0,0,2.63,0,0,0
 96-106,0,0,0.57,0,0,0
108-118,1.01,0,0,2,0,1.04
120,0,8.33,0,0,0,0
