stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,114.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.46,94.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.36,12.74,0,0,0,0,0,0,0,0,0,26.59,0,0,0,0,0,0,0,0,0,0,82.24,0,0,0,15.45,0,0,7.32,0,0,0,0,0,0,0,0
 10-12,0,3.1,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.21,0,0,0,45.9,0,0,5.33,0,3.8,0,0,0,0,0,0
 14-21,0,0,3.28,0,0,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1.37,0,1.37,10.84,4.22,0,0,0.89,0,1.08,1.12,3.17,0,3.69,6.79,10.78,1.41,0,0
 24-34,0,0,2.5,0,0,3.07,0,0,0,0,0,0,0,2.19,0,0.64,0,10.33,0.77,0,0,2.45,28.08,20.01,0,1.42,0,0,2.69,0,0,0,0,0.78,3.03,3.11,0,0
 36-46,0,0,0,0,0,13.05,0,0,3.16,1.42,0,0,0,1.07,0,0,0,13.6,2.51,0,0,0.83,5.01,9.77,0,0.58,0,0,7.11,0,0,0,0,0,2.57,0.94,0,0
 48-58,0,0,0.37,0,0,20.61,0,0,0,0.79,0,0,1.73,0.74,0,0,6.09,2.59,11.8,0,0,0.75,21.5,10.88,0,0,0,0,0.89,0,0,0.4,1.93,0,2.67,1.74,0,0
 60-70,0,0,2.88,0,0,7.85,2.87,2.61,0,0.8,0,0,1.58,0,0,0.79,0,0,1.05,0,0,0,11.26,0.66,0,0,0,0,0,0,0,0,0,0,0.71,1.9,0,0
 72-82,0,0,0.8,11.93,0,12.77,0,0.5,0,3.35,0,0,1.81,1.23,0,0,0,4.86,4.98,0,1.11,0,4.09,1.14,0,0,0,0,5,0,0,0,0,0,0,1.84,0,0
 84-94,0,0,4.61,0,0,7.86,0,0,0,1.33,0,0,3.06,0.91,0,0.71,0,4.53,14.56,0,1.77,0,8.97,3.04,0,0,0,0,14.58,0,0,0,0,0,0,3.91,1.52,0
 96-106,0,0,4.63,7.47,0,6.9,2.05,0,0,0,4.59,0,6.09,8.26,2.59,1.6,0,0,8.93,0,0,0,13.65,0,0,0.94,0,2.4,21.64,0,0,0,0,0,0,3.2,0,0.69
108-118,0,0,1.98,0,5.29,16.1,1.54,0.48,0,7.4,4.4,0,9.18,0,0,0,0,7.77,12.98,0,2.87,1.61,13.02,0.41,0,0,0,0,17.14,0,0,0,0,0,0,0,0,5.43
120,0,0,11.1,0,0,5.66,0,0,0,2.98,8.28,0,24.68,0,0,0,0,22.83,22.9,0,0,3.58,2.8,0,2.2,0,0,0,28.39,0,0,0,0,0,0,0,0,0
