stage,blastomeres,neural,olfactory,paraxial.mesoderm
  3-4,91.31,0,0,0
  5-6,14.93,0,0,8.65
  7-9,0,0,0,6.49
 48-58,0,0.45,0,0
 60-70,0,0,6.61,0
108-118,0,1.53,1.84,0
