stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,iridophores,mesenchyme,mucous,neural,notochord,olfactory,paraxial_mesoderm,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,21.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.3,0,0,0,0,0,0,0,0,0,10.33,9.65,0,4.96,0,0,0
 10-12,0,0,0,0,5.51,0,0,0,0,0,0,0,6.58,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,0,0
 36-46,0,0,0,0.57,1.45,0,0,0,0,0,0,1.6,0,0,0,0,0,0
 48-58,0,0,0,0,0.6,0,0,0,0,0,0,6.02,0,0,0,1.77,0,0
 60-70,0,0,0,3.28,0,0,0,0,0,0.89,0,11.82,0,0,0,0.96,0.85,0
 72-82,0,0,0.65,35.96,4.49,0,3.82,0,0,2.08,0,17.39,0,0,0,0.61,0,1.14
 84-94,0,0,0,55.77,10.5,0,0,0.97,1.74,0,0,20.23,0,0,0,2.85,0,0
 96-106,0,0,0,52.24,98.1,0,7.22,0,0,0,0,7.94,0,0.74,0,0,0,0
108-118,0,0,0,49.61,147.02,0.65,3.47,0,0,0,1.71,39.7,0,0,0,0,0,0
120,0,0,0,14.6,77.77,0,2.04,4.22,0,9.31,0,44.27,0,0,0,0,0,0
