stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.82,0.91,38.4,2.85,0,22.61,0,0,0,7.71,1.23,0,0,1.73,0,0,0,1.78,10.16,0,0,13.02,693.66,2.72,0,0.92,2.16,0,12.32,2.93,9.52,0,3.29,16.83,222.21,0,0,1.02,0,0
 24-34,0.96,0,10.35,0.66,0,80.13,0,0,0.74,42.11,0,0,0,0.68,0,0,2.13,0,66.67,0,0,7.6,2073.43,5.43,8.65,10.59,1,0,32.95,0,0,0,0,2.62,464.39,0,0,24.03,0,0
 36-46,0,0,9.2,0,0,168.77,1.33,0,3.57,234.91,0,1.27,0,0,0,5.82,0,0,52.1,0,0.92,15.16,1733.15,0,4.03,8.43,0,0,26.15,0,0,0,0,0,472.75,0,0,0,0,1.62
 48-58,0.67,0,9.36,0,0,254.42,0.4,0.95,2.44,431.15,0,5.67,0,0.97,0.85,7.82,0,2.45,69.35,0,8.38,8.65,968.69,8.77,3.11,6.61,0,0,3.07,0,0,3.3,0,0,440.71,0,0.37,2.28,0,0
 60-70,0,0,6.9,0,0,271.49,0,1.31,2.26,641.5,1.59,3.81,0,0,0,19.4,0.69,0,128.12,0,17.12,7.41,601.13,0,5.97,16.52,0,4.69,1.95,0,0,0,0,0,184.25,0,0.94,0,0,11.43
 72-82,0,0,6.14,0.96,0,153.86,0,0,3.34,844.02,1.48,8.35,0,0,0,8.91,3.3,0.64,108.75,0.59,24.92,6.83,458.89,0,7.87,19.99,0,10.66,3.51,0,0,1.23,0,0,96.17,0,2.65,1.04,5.9,0
 84-94,0,0,5.4,0,1.06,167.22,0,0,2.38,606.44,5.3,10.03,0,0,0,18.55,7.29,5.59,148.1,0,15.64,9.6,336.04,0,10.13,5.75,0,2.81,2.63,0,0,1.79,0,0,59.48,2.33,8.87,0.92,9.43,0
 96-106,0,0,8.47,14.05,3.86,120.82,0,0.62,4.16,591.98,3.13,12.13,3.01,6.88,0.95,37.58,3.54,0,80.27,0,7.92,4.85,243.18,0.59,14.49,17.41,0,15.83,1.95,0,0,0,0,0,47.11,3.81,5.11,1.91,9.47,0.73
108-118,1.39,0,8.69,0,0.45,79.59,0,0,0,778.74,3.59,7.75,1.28,0.71,5.08,22.55,6.91,0.47,67.74,1.45,18.95,8.23,342,5.34,16.07,17.32,0,19.75,4.45,0,0,0,0,0,35.98,13.26,0.88,1.5,6.09,0
120,0,0,8.8,0,1.78,145.1,0,0,1.6,1033.16,0,8.57,1.23,4.55,0,5.19,7.41,0,124.69,0,2.33,4.1,391.16,5.33,11.07,7.72,0,13.5,3.17,0,0,0,0,0,124.86,3.57,0,0,7.34,0
