stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59,0,0,0,0,0,0,0
 14-21,1.38,0,23.94,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0
 24-34,0,1.91,27.82,0,0,0.66,0,0,0,0,2.22,0,1.33,6.99,3.79,0,4.25,1.02,0,0,0
 36-46,0,0,18.41,0.95,0.84,0,0,0,0,0,4.81,0,0.87,4.22,0,0,0,1.68,0,0,0
 48-58,0,0,54.68,1.83,0.57,0,0,0.77,0,0,4.9,0,1.19,9.03,0,0,0.66,2.51,0,0.42,0
 60-70,0,0,89.24,8.2,0,0,0,0,0,0,5.28,0,0,6.3,0,0,0,0,0,0,0
 72-82,0,0,263.67,3.21,0,0,0,0,0,0,12.93,0.57,1.67,4.21,0,0,0,1.66,0.57,1.09,0
 84-94,0,0,308.14,0.74,0.65,0.68,0.99,0,0.58,1.67,1.63,0,2.34,6.99,0,0.79,0,0,0,0,0.98
 96-106,0.87,0,311.59,14.13,2.93,0,0,0,0,0,5.05,0,0,5.52,0,0,0,0,0,2.22,0
108-118,0,0,191.57,5.34,0,3.93,0,0,0,1.25,6.88,0,2.04,10.82,0,0,3.53,0,8.46,1.68,0
120,0,0,188,2.35,0,2.03,0,0,0,0,3.17,0,0,0,0,0,0,0,2.55,0,0
