stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0
  7-9,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636.43,0,0,0,24.2,0,0,0,6.85,0,0,0,0,0,0
 14-21,0,0,4.55,5.08,8.3,0,0,1.54,0,0,0,0,0.85,0,0,0,2438.46,0,0,0,0,0,0,2,0,3.47,4.87,408.63,0,0,0
 24-34,0,0,11.5,0,11.41,0,0,13.29,0,1,0.93,0,9.02,0,0,36.19,2761.57,0,0,0,0,0,1.25,0,0,0,0,552.74,0,1.83,0
 36-46,0,0,1.59,0,17.24,0,0.57,278.74,0,0,2.75,1.37,14.45,0,0,49.18,2244.78,0,2.06,0,0,0,0.59,15.12,0,0,0,441.19,0,0.6,0
 48-58,0,0,0,0.39,19.46,3.06,0,593.23,0.39,0,0,0,3.43,0.39,0.51,25.66,762.39,0,0,1.94,0,0,0,5.45,0,0,0,177.93,0,0,0
 60-70,0,0,0,0,13.78,0,0,335.12,0.95,0,0,0,1.62,0,0,5.29,275.2,0,0,0,0,0,4.06,0,0,0,0,55.4,0,0,0
 72-82,0,0,0,0,11.3,0,0,446.91,0,0,0,0,2.23,0,0,1.19,208.57,0,0,0,0,0,0,0,0,0,0,16.59,0.87,0,0
 84-94,0,0,2.19,0,13.2,0,0,260.16,0,0,0,0,0,0,0.85,2.48,36.31,0.96,0,0,0,0,0,0,0,0,0,6.31,0,0,4.6
 96-106,0,0,0,0,32.67,0,1.21,304.38,0,0,0,0,5.23,2.28,0,4.72,70.65,0,0,0,0,1.61,0,0,0,0,0,12.06,0,0,0
108-118,0,0,0,0,4.19,0,0,282.69,0.43,0,0,0,1.82,0,0,8.7,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.8,0,1.77,0,0,399.67,2.03,0,0,0,0,0,0,0,70.2,0,0,0,0,0,0,0,0,0,0,14.04,0,0,0
