stage,hatching.gland,neural,spinal.cord,vasculature
  7-9,5.02,0,0,0
 14-21,0,0,0,0.98
 24-34,0,0,1.88,4.11
 36-46,0,0,0,6.92
 48-58,0,0,0,0.62
108-118,0,3.13,0,0
120,0,0,0,5.18
