stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,143.52,2108.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.07,897.63,0,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39,0,0,0,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.2,0,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.17,4.32,0,0,24.24,0,0,6.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,29.53,0,15.91,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.7,0,0,0,34.83,0,0,5.33,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.14,2.78,2.05,0,9.04,0,0,0,0,0,0,0,0.81,0,0,0,0,11.42,0,0,12.56,73.84,0,0,0,0,0,0,0,7.47,1.15,0,2.8,6.39,0,0,1.21,0,0
 24-34,0,0,1.23,1.35,0,0,0,13.64,0,0,7.44,4.81,0,0.76,0,0,0,0,0,0,56.18,0,0,48.44,178.03,0,7.15,2.18,0,0,1.62,0,0,5.33,0.88,2.66,23.58,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,12.6,0,12.69,16.68,18.81,0,2.49,1.03,0,0.71,0,0,8.88,93.66,0,0,61.18,467.7,0,2.81,7.77,0,0,9.52,0.74,1.82,0.58,0,0,45.07,0,1.37,6.06,0,1.28
 48-58,0,0,0.86,0,0.82,0,0,58.8,7.96,1.24,14.21,23.65,0,0.66,0,0,0,0,0.39,2.32,86.16,0,1.94,23.56,823.33,0,5.29,3.58,0,0,2.52,0,0,0.8,2.07,0,98.28,0,0,1.39,0,0
 60-70,0,0,1.46,0,4.49,0,0,308.9,2.92,8.79,14.5,22.3,0,0,0,0,2.89,1.16,1.2,2.78,106.06,3.03,0,24.21,1184.76,0,7,6.93,0,0,8.4,0,0,1.22,1.58,0,131.09,0,2.96,0,0,0
 72-82,0,0,0,0,10.05,5.79,0,588.4,0,5.87,19.4,72.6,1.59,0.58,0,0,0,0.72,0,0.64,153.49,0,5.06,18.82,969.37,0,12.08,15.11,0,2.24,0.96,0,0,3.82,0,0,83.96,2.24,3.6,0.93,0.77,0
 84-94,0,0,2.24,0,7.74,4.95,0,396.9,9.11,7.22,20.77,54.29,2.42,0,0,0,0,1.46,0,1.45,124.11,0,0.89,24.78,776.78,0.67,5.55,14.48,0,1.61,1.4,0,0,1.97,0.66,0,53.43,6.35,0,2.61,5.33,2.62
 96-106,0,0,0,0,19.17,2.05,0,562.88,5.41,2.54,31.01,55.68,2.17,0,0.64,1.61,0,1.45,0,0.71,123.62,0,0,12.32,684.01,0,6.44,20.56,0,0,6.16,0,0,1.92,0,0,40.76,0.58,0,12.76,0,0.75
108-118,0,0,0,0,10.51,0,2.74,378.75,0.84,8.54,22.24,87.46,2.94,0,0.87,0,0,0.51,0,0.53,140.1,0,0.65,29.08,759.97,2.24,13.08,18.81,0,0,6.8,0,0,3.79,2.49,0,30.14,5.78,0,1.34,2.94,0
120,0,0,0,0,2.66,0,0,261.29,0,13.04,69.31,130.41,9,0,2.05,0,0,0,0,0,178.7,0,2.03,14.12,1118.74,0,26.93,34.15,0,4.59,0,0,0,0,0,0,46.14,0,0,4.69,3.6,0
