stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.02,20.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.63,0,0,0,0,0,0,0,25.66,0,0,8.29,0,0,0,0
 10-12,0,0,0,0,19.32,0,0,0,0,0,0,0,46.97,0,0,12.44,0,0,0,0
 14-21,0,0,0,0.83,0.82,0,0,0,0,0,0,0,1.89,0,0,0,1.48,2.62,0,0
 24-34,0,0,0.78,0,0,0,0,0,0,0,0,0,4.9,1.06,1.55,0,0,1.73,1.35,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.34,0,2.71,4.14,2.26,0,0,5.03,0,0
 48-58,0,0,1.93,0,0,0,0,0,0,0.4,0,0,5.74,4.01,0.82,0,0,1.99,0,0
 60-70,0,0,0,0,1.08,1.08,0,0,0,0,0.7,0,2.39,2.85,3.17,0,0,2.34,0,0
 72-82,0,0,0,0,1.04,0,0,0,0,0.82,0.63,0,19.79,3.27,9.62,0,0,0.52,0.73,0
 84-94,0,0,2.1,0.69,0,0.57,2.58,0,0,0,0,0.75,10.32,15.43,13.4,0,0,4.46,0,0.91
 96-106,0,0,0,0,0,0.68,0,0,0,0.58,0,0,0,6.93,10.9,0,0,4.32,0,0
108-118,0,0,0,0,2.28,0,0,0,1.09,3.02,0,0,4.77,2.9,10.27,0,0,3.64,0,0
120,0,0,0,0,18.62,0,0,1.63,0,0,0,0,31.72,11.73,37.25,0,0,1.34,0,0
