stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,xanthophores
  3-4,21.95,20.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.87,21.16,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.34,0,0,3.38,0,0,0,0,0,0,12.39,0,0,0,12.46,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.28,0,0,0,0,0,0,14.13,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.82,0.96,0,0,21.81,0,0,4.98,0,30.62,2.9,0,1.14,3.28,1.03,0,15.35,1.61,83.08,0,0
 24-34,0,0,0,0,0.67,0,0,0,22.77,0,0,2.9,0,30.44,0.75,3.1,5.04,0,0,0,13.1,2.58,89.2,0,0
 36-46,0,0,0,0,0,0,4.5,0,19.48,0,0,10.46,0.73,39.45,0.55,8.92,13.31,0,0,0,5.91,0,70.18,0,0
 48-58,0,0,0,0,0,0,1.66,0.37,26.02,0,0,2.99,0.54,17.83,0,1.83,5.84,0,0,0,3.2,0,55.27,0,0
 60-70,0,0,0,0,0,0,14.79,0.76,20.02,0,3.19,0,0.68,25.29,0,0,3.02,0,0,0,0.97,0,45.39,0,0
 72-82,0,0,0,0,0,0,4.29,0,24.52,0,3.57,0.6,0.77,19.38,0,2.04,9.16,0,0,0,0,0,15.18,4.21,0
 84-94,0,0,2.22,0,0,0,14.72,2.72,15.76,0,7.1,0,0,1.95,0,7.59,19.79,0,0,1.4,0.7,0,27.67,0,0
 96-106,0,0,0,0,0,0,1.14,0,24.55,0.85,8.16,2.49,0,6.26,0,1.61,17.39,0,0.68,0,1.48,0,14.52,0,0
108-118,0,0,0,0,0,0,0.51,2.05,14.89,0,3.37,3.38,0.99,6,0,0,24.26,0,0,0,1.25,0,13.39,0,0
120,0,0,14.89,0,0,0,0,0,0,0,10.49,0,0,22.12,0,0,20.39,0,0,0,5.92,0,17.95,0,10.98
