stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,10.01,20.59,0,3.43,0,0.82,0,0,0,0,1.74,0,0,0,0,5.3,1.48,6.8,0,0,7.75,111.12,0,0,0,0,0,12.74,0,2.37,14.59,20.22,0,0,1.05,0,0
 24-34,0,3.55,0,0,10.56,0,0.63,0,4.79,0,0,0,0.87,1.41,0,1.76,3.32,0.95,23.5,0,0,10.11,135.56,3.38,1.86,1.97,0,8.22,0,0.83,4.23,3.22,30.3,0,0,1.33,0,7.47
 36-46,0,0.75,1.27,0,15.79,0,1.12,0,12.16,0,0,0,2.11,0,1.68,0,0,10.08,12.81,0,1.55,4.64,75.8,0,2.89,1.38,0,8.11,0,0,0,0,20.61,0,0,5.16,0,8.22
 48-58,0,1.76,0,0,26.7,0,1.96,0.56,16.56,0.39,0.48,0.71,0,0,0,0,1.77,5.3,20.66,1.4,5.38,2.42,82.48,0,0.63,0.44,0,8.97,0,0,0,0,28.81,0,0,1.46,0,3.71
 60-70,0,2.56,0,0,38.71,1.12,0,0.76,8.52,1.06,0,0.77,9,1.84,7.16,0,2.11,0,22.71,0,0,0,81.6,0.67,3.76,0,0,4.16,0,0,0,0,7.87,0,0,0.87,0,5.05
 72-82,0.61,3.97,2.49,0,49.87,0,0,1.88,11.37,1.57,0,0.58,1.87,0.53,3.47,0.68,2.89,0.98,57.18,0,0.77,3,51.32,0,1.38,1.14,0,7.5,0,0.53,0,0,3.91,0.53,1.97,4.96,0.72,1.6
 84-94,0,4.24,1.77,0,45.76,0,0.59,0.83,13.16,2.43,0,9.15,7.19,1.5,0,1.72,0.88,0,24.74,0,0,11.07,41.55,1.74,5.74,0.72,5.27,14.56,0,1.26,0,0,6.27,0,0,0.94,0.75,2.23
 96-106,0,7.49,2.06,0.59,53.71,0,1.24,1.28,8.8,1.16,0,0,2.88,0.74,0,0.59,7.34,0,39.51,0,0,1.99,42.1,0.66,1.99,3.55,0,18.56,0,0.7,0,0,0.87,0.58,0,6.01,1.81,15.79
108-118,0,8.06,0.99,2.65,54.37,0,2.07,0.71,16.57,0.91,0,1.58,4.73,1.69,2.58,0.86,3.89,0,30.3,0.6,1.48,2.64,62.37,0,0.63,3.67,0,10.68,0,0.55,0,0,8.07,0,0.57,4.12,0,7.43
120,0,12.23,4.95,0,23.38,0,1.12,1.29,8.25,2.42,0,0,9.82,0,0,2.39,11.41,0,32.53,1.59,0,14.73,55.32,0,1.45,0,0,17.01,0,0,0,0,12.02,0,0,7.27,2.97,4.69
