stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,59.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.47,10.49,0,0,0,0,0,0,0,0,0,0,0,0,73.19,0,0,0,0,0,0,0,0,0,0
  7-9,4.72,66.19,0,0,0,0,0,0,0,0,0,0,0,0,182.32,0,0,17.87,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.74,9.13,0,9.58,0,10.73,0,0,0,0,0
 14-21,0,0,2.06,0,3.72,0,0,0,0,0,0,1.36,0,0.91,5.88,0,0,0.84,5.28,0,0,7.06,1,0,0
 24-34,0,0,1.25,0,5.19,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0,0.7,1.47,0,0
 36-46,0,0,0,0,0.62,0,0.75,0,9.19,0,0,1.41,0,0,8.84,0,0,0,0,0,0,0,1.52,0,0
 48-58,0,0,0,0,2.4,0,0,0,12.26,0,0,2.39,0,0,9.82,0,0.5,0,0,0,5.13,0,1.42,0,0
 60-70,0,0,0,0,18.21,0,0,2.31,0,0,0,2.35,0,0,6.4,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.32,2.39,7.1,2.53,0,1.95,0,0.95,0,1.21,0,1.95,13.42,0,0,0,0,0,0,0,2.36,1.51,0
 84-94,0,0,0.64,0,4.83,0,0,4.84,0,0,0.59,6.74,0,1.39,0,0,0,0,0,0,0,0,6.47,0,0
 96-106,0,0,0,0,9.57,0,0.57,0.76,0,0,0,0.61,0.88,0,16.78,0,0,0,0,0,0,0,0,0,0.8
108-118,0,0,0.93,0,5.49,0,0,0.58,0,0.98,0,2.71,0,1.11,10.84,0,0,0,0,0.51,0,0,0,0,0
120,0,0,0,0,0,6.5,5.39,0,0,0,0,0,0,4.33,11.93,0,0,0,0,0,0,0,0,0,0
