stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,374.52,5709.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.39,0,0,0,0,0,0,0,0,0,0,0
  5-6,455.07,9628.56,0,0,0,0,0,0,0,0,0,0,44.11,0,0,0,0,0,0,0,0,0,0,0,317.5,39.89,0,0,16.73,0,196.37,0,0,0,0,0,0,0,0,0,0,0
  7-9,251.46,330.22,0,441.18,0,6.96,793.92,0,0,0,0,0,238.08,0,0,0,0,0,0,0,0,0,0,0,7497.23,283.16,0,0,2296.08,0,5.78,142.31,0,12.83,0,0,0,0,0,0,0,0
 10-12,9.78,208.68,0,372.28,0,45.99,684.93,0,0,0,0,0,64.85,0,0,0,0,0,3.73,0,0,0,0,0,6169.62,211.63,0,0,2117.79,0,6.57,62.41,13.22,264.9,0,17.67,13.62,0,0,0,0,0
 14-21,0,0,4.28,13.44,197.45,30.03,123.51,0,1.19,0,38.18,11.68,1.69,2.01,0,5.62,0.91,1.14,3.71,0.86,113.71,0,0,67.27,1789.83,32.97,6.77,18.54,57.78,0,14.72,6.79,219.33,9.46,17.7,202.96,551.71,0,0,5.31,0,0
 24-34,0,0,0.84,3.88,45.79,8.24,260.9,0,1.47,4.72,48.31,0.91,3.85,3.49,1.21,3.78,1.75,4.97,1.91,2.27,196.6,2.03,0,62.97,3159.72,15.21,23.58,17.36,0,0,52.11,1.84,2.26,13.29,3.4,38.08,683.54,0,0,30.44,0,9.16
 36-46,0,0,0,0.96,25.79,4.49,569.49,7.79,3.94,4.15,95.24,0.74,0,2.81,2.35,1.93,10,0.66,7.48,9.36,203.81,0,4.19,46.31,3367.73,18.7,17.1,16.27,0,0,59.02,2.4,0,20.09,7.96,0.6,761.37,0,0,15.6,0.78,3.96
 48-58,0.39,1.29,0.42,0,37.73,3.92,936.71,2.43,6.95,13.51,152.69,3.92,0,2.61,1.24,0.39,1.95,2.76,2.85,4.12,226.18,3.52,18.64,51.86,2587.34,4.21,8.18,9.02,0,0.53,38.19,0,0,0.56,1.36,0,580.22,0,1.1,19.61,0,20.23
 60-70,0,0,5.3,0,36.62,13.1,1151.9,2.03,10.98,4.26,142.87,4.76,0,1.26,6.62,0.92,3.59,1.86,0,1.14,246.46,4.94,23.3,31.27,2048.86,2,9.39,4.5,0,0,33.7,0,0,5.98,5.13,0,338.83,1.65,2.57,16.7,0,14.13
 72-82,0,0,3.63,0.56,22.36,23.19,846.93,4.13,0,17.03,154.39,6.38,0,1.53,2.97,2.74,5.75,5.3,7.77,0.6,307.81,3.74,7.56,23,1463.51,3.81,13.06,5.92,0,1.12,17.91,0,0,0,0,0,237.45,4.93,4.56,22.43,5.21,14.67
 84-94,0,0,4.63,0,53.75,43.28,557.41,2.13,18.43,5.25,135.03,12.62,0,3.55,9.92,16.88,18.01,6.88,2.05,0.58,254.23,10.95,15.98,20.22,923.43,2.33,17.58,28.57,0,4.78,82.35,0,0,6.17,0,0,137.88,2.36,7.3,20.19,4.68,23.61
 96-106,0,0,1.11,1.03,54.1,40.84,452.74,0.71,5.91,9.42,155.36,14.96,0,3.13,10.75,14.71,15.12,10.36,10.92,2.95,261.51,5.12,7.21,23.03,863.26,9.61,12,26.34,0,7.62,47.5,0,0,3.73,0,0,62.99,4.35,3.79,28.49,11.03,10.33
108-118,0,0,2.11,0,51.35,30.57,571.65,2.18,8.77,3.56,139.61,10.63,0,3.55,12.5,2.58,22.01,6.4,0.99,1.75,251.97,4.46,8.87,39.53,1324.27,4.17,17.43,21.05,0,4.54,52.5,0,0,1.93,2.83,0,45.05,3.51,3.1,40.71,4.45,18.66
120,1.19,0,1.73,3.17,72.77,19.72,377.68,1.61,17.13,9.31,113.76,2.51,5.2,6.72,13.04,3.56,9.07,6.11,5.05,0,262.9,2.21,16.9,23.02,1141.55,10.77,6.25,20.8,0,8.63,43.11,0,0,8.16,2.85,0,58.75,5.4,9.47,55.5,3.69,0
