stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,98.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.81,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.91,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0
  7-9,249.16,0,0,91.41,0,0,14.38,0,0,0,0,0,112.09,0,0,0,0,0,0,0,0,0,0,82.81,362.19,0,0,38.9,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.18,0,69.53,0,11.83,20.26,0,0,0,0,0,14.91,0,0,0,0,0,0,0,0,0,0,147.04,597.71,0,0,63.08,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,40.01,164.52,15.97,7.5,0,0,0,10.31,29.53,0,22.36,0,1.15,0,0,7.1,83.11,0,0,65.27,98.87,494.4,0,4.63,3.9,0,4.44,2.34,23.94,0.97,0,23.48,126.92,0,0,1.1,0,0
 24-34,0,0,0,22.81,125.83,2.12,47.45,0,2.18,5.23,22.95,9.25,0,39.57,2.63,0,0,2.84,1.48,245.5,13.37,2.1,155.57,193.81,119.02,0.82,14.67,0,1.61,0,0,0.83,1.53,0,21.78,212.03,0,0,52.48,0,0
 36-46,0,0,0,2.07,73.11,3.65,50.27,0.67,3.41,5.67,29.02,10.43,0,39.76,0,0,0,3.54,0.83,203.53,1.12,7.06,123.45,113.73,19.65,0,22.2,0,4.12,3.32,0,0,0,0,0,110.56,0,0.62,132.21,0,0
 48-58,0,0,0,0.4,56.9,0,53.6,0,7.67,9.77,31.84,3.87,0,20.61,1.15,0,0,2.93,0,251.37,0,8.57,72.81,120.91,3.87,1.95,9.68,0,0,0.91,0,0,0.37,0.4,0,57.25,0,0,96.37,0,0.8
 60-70,0,0,0.7,0,61.51,0,70.11,0,26.97,62.97,62.34,17,0,12.7,4.75,1.71,0,3.52,1.2,534.67,0,7.2,78.83,117.74,19.46,0,21.19,0,0,0,0,0,0,0,0,30.84,0,12.64,203.76,0.87,0
 72-82,0,0,0,3.31,29.66,1.16,86.58,1.21,14.94,99.48,50.54,26.55,0,4.03,3.87,0,3.92,2.43,0,793.66,0,12.17,82.17,110.6,3.62,1.74,35.97,0,4.2,0.64,0,0,0,0,0,12.5,0,25.56,418.04,0,0
 84-94,0,0,0,0,46.28,0.58,97.46,0,17.22,51.08,77.66,46.81,0,12.87,1.54,3.31,0.83,6.34,4,776.99,0,14.34,69.29,44.73,1.3,0.56,50.5,0,1.75,3.3,0,0,0,0,0,19.29,0,18.35,432.4,4.51,0
 96-106,0,0,0,0,44.25,12.68,124.69,1.64,36.92,67.73,21.36,19.67,0,2.62,2.28,0.66,4.05,8.69,0,876.77,0,13.81,56.75,75.28,6.28,3.12,76.68,0,6.51,0.89,0,0,0.61,0,0,4.31,0,14.1,618.82,4.84,0
108-118,1.45,0,0,0.74,33.73,3.7,113.38,0,16.08,109.49,48.47,32.54,0,13.08,10.39,0,5.81,2.91,5.37,895.66,0,5.49,35.82,92.39,12.58,0.6,72.62,0,0.87,1.44,0,0,4.12,0,0,4.88,1.21,13.96,539.57,3.03,2.24
120,0,0,0,0,26.3,11.79,67.64,3.87,10.6,57.64,18.5,28.01,0,14.85,28.23,0,5.07,6.85,0,810.83,2.69,0,35.78,88.26,15.15,9.85,47.39,0,11.16,0,0,0,0,0,0,2.54,2.39,0,503.17,0,0
