stage,axial,epidermis,eye,fin.epithelia,glial,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
  7-9,3.5,0,0,0,0,0,0,0,0,8.53,0,0,0,0,0
 10-12,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.88,0.93,0,0,0,0,2.44,1.02,14.76,1.08,0,0,1.11,0
 24-34,0,0.67,1.05,0,0,0,0,2.76,1.12,12.92,0,0,0.62,2.24,0
 36-46,0,0,0,1.15,1.65,0,0,1.86,0,12.17,3.55,0,0,2.57,0
 48-58,0,0,1.13,0,0,0.55,0,1.06,0,17.37,0,0,3.3,1.12,0
 60-70,0,0,0,0,0,0,0,3.07,0,24.92,0,0,2.82,2.04,0
 72-82,0,1.38,5.96,0,1.7,0,0,1.51,0,13.62,0,0,0.58,2.79,0
 84-94,0,3.38,6.05,0,11.18,0,0.56,1.67,1.85,3.87,2.78,0,0,0.8,0.95
 96-106,0,1.12,0,0,0,0,0,0,0,7.35,0,0,0,0,0
108-118,0,0.98,3.45,0,0,0,0,2.53,1.18,6.54,0,0,0,0,0.45
120,0,0,0,0,3.28,0,0,6.13,0,7.06,1.26,1.1,0,0,0
