stage,epidermis,eye,fin_mesenchyme,mesenchyme,neural,olfactory,periderm,spinal_cord
 14-21,1.13,0,0,0,0.96,0,0,0.87
 24-34,0,0.73,0,0,0.93,0,0,0.74
 36-46,0,0,0.63,0,8.89,0,0,0
 48-58,0,1.36,0,6.81,13.63,0,0,0.77
 60-70,0,0.98,0,0,7.42,0,0,4.92
 72-82,0,0,0,2.72,11.92,0,0,0.97
 84-94,0,1.79,0,0.73,0.83,0,5.09,0
 96-106,0,0,0,0.68,3.33,0,0,0
108-118,0,3.12,0,0,0,0.96,2.52,0
120,0,1.65,0,0,16.84,0,0,0
