stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,14.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.57,0,0,0,6.94,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.57,2.96,0,0.98,0,0,0,0,0,0,0,0,0,0.94,0,0,2.82,25.97,0,0.87,1.9,1.33,0,0,3.15,0,0,3.78,6.92,0,0,0,0
 24-34,0,0,3.82,2.85,0,0,0.98,0,0,0,2.28,0,0,0,0,0.82,3.83,0,0,2.93,38.06,0,5.06,0,0,0,1.7,0,0,0,0,6.21,0,0,0,0
 36-46,0,0,0,0,1.36,0,6.73,0,0,0,2.95,0,0,0,0,0,6.96,0,0,1.04,87.42,0.94,4.52,0.97,0,0,0.62,0,0,0,0,10.79,0,0,0,0
 48-58,0,0,0,1.77,0,0,16.47,0,0,0,3.97,0,0,0,0,0,5.35,0,0.46,0,81.5,0,1.3,0,0,0,0,0,0,0,0,15.2,0,0,0.73,0
 60-70,0,0.82,0,0,0,0,31.57,0,0,0,2.31,0.63,0,0,0,0,2.47,0,0,0,71,0,0,3.17,0,0,6.58,0,4.67,0,0,10.07,0,0,0,0
 72-82,0,0.75,0,1.07,19.7,0,55.21,0,0,0,5.27,3.1,0,0.61,0,0,9.09,7.54,4.72,1.31,73.79,0,7.49,1.88,0,0,3.41,0,0,0,0,6.87,0,0,0,0.57
 84-94,0,2.24,0,0.96,9.92,0,56.03,0,0,0,3.65,0,0,0,0,0,4.7,0,3.37,4.48,82.39,0,2.29,2.08,0,0,10.13,0,0,0,0,0,2.79,0,1.19,0
 96-106,0,0,0,2.83,2.63,0.77,94.21,0,2.05,0,6.59,1.36,1.36,0.63,2.39,1.7,7.15,0,0,0,41.83,0,2.8,0.98,0,0,0.7,0,0.58,0,0,13.18,0,1.22,0.74,1.77
108-118,0,0,0,2.26,1.29,0,76.53,0.42,0,1.95,9.26,0.48,0,1.08,0.68,0.65,13.24,5.36,0,0,69.8,0,9.41,2.97,0,1.08,3.04,0,0,1.21,0,10.63,0.42,0,3.74,0
120,0,0,0,0,12.18,0,19.81,0,0,0,6.53,0,0,7.56,0,2.98,9.51,0,0,1.42,31.1,0,6.71,0,0,0,8.6,0,0,0,0,0,0,0,18.66,0
