stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,14.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.19,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.54,0,0,0,0,0,0,1.81,0,0,0,0,0,0,0,0,1.32,0,0,0,0
 48-58,0,0,0,0,2.89,5.52,0,0,0,0,0,0,3.48,0.43,0,0,9.26,0,0,0,0,2.45,0,0,0,0
 60-70,0,0,0,0,10.97,13.33,0,0,0,0,0,0,0,8.02,0,8.02,8.75,0.81,5.14,0,0,0,0,0,0,0
 72-82,0,0,0,4.04,3.9,9.92,0,1.27,1.76,0,0,0,0,1.19,0,1.88,9.59,2.22,0,1.16,0,4.2,3.87,0,0,0.53
 84-94,0,0,1.05,0,4.02,27.49,0,0,5.34,0,4.3,0,0,3.26,1.38,6.82,32.75,0,0,1.92,0,0,0,0,0,0
 96-106,0,0,2.09,23.49,61.42,13.92,0,0,1.99,1.23,0,0,0,17.66,0,2.96,11.94,0,0,3.66,3.02,8.25,0,1.88,1.34,0
108-118,0,0.74,0.88,0,3.76,20.15,0.44,0,9.25,0,0,0.43,0,3.82,0,8.2,11.63,0,0,0.58,0,1.77,3.26,0,0,0
120,0,0,1.78,0,26.06,8.83,0,0,0,0,0,0,0,0,0,3.68,39.19,0,0,7.23,0,1.64,0,0,0,0
