stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.59,73.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,266.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.68,0,0,23.56,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,164.72,4.5,0,0,67.99,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.04,0,0,12.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.87,0,0,0,88.03,0,0,10.03,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0.9,4.16,1.84,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,4.06,46.41,0.97,0,0,0.84,0,6.18,0,0,3.56,17.26,0,0,0,0,0
 24-34,0,0,0,0,5.76,0,8.93,0,0,2.24,0,0,0,0,0,0,0,0,11.07,0,0.81,7.11,205.39,1.19,1.34,0,0,7.03,0,0,1.74,3.53,49.77,0,0,1.97,0,0
 36-46,0,0,0,0,0.65,0,30.47,0,0,6.55,0,0,0.65,0,14.55,0,0,0,10.66,0,0,6.8,220.93,0,0.6,0.76,0,0.58,0,0,0,0,58.47,0,0,3.79,0,10.49
 48-58,0,0,0,0,2.68,0,59.27,0.37,0.94,12.45,0.39,0.48,0,0,0,0.98,0,0,19.57,0.45,1.7,3.05,152,0,2.11,0,0,9.32,0,0,0,0,37.55,0,0,0,0,0
 60-70,0,0,0.7,0,0,0,37.75,0,0,1.94,0,0,0,0,0,0,0,0,5.59,0,0,1.78,88.58,0,0,0,0,7.43,0,0,0,0,5.62,0,0.69,0.57,0,0
 72-82,0,0,0.75,0,2.57,9.07,75.93,0,1.94,9.91,2.08,0,0,0,0,0,0,2.16,33.85,0,1.8,2.65,173.8,1.43,1.21,1.87,0,0,0,0,0,0,11.51,5.29,1.14,9.31,0.51,0.67
 84-94,0.62,0,0,0,3.75,0,34.29,2.33,0,7.29,0,0,0,0.73,0,0,0,0,6.9,0,0,0,41.92,0,0,0,0,8.02,0,0,0,0,1.52,0,0,1.09,0,0
 96-106,0,0,0,0,4.56,13.26,44.06,0,1.04,13.71,0,0,0,0,0,0,0,0.65,7.18,0.69,0,0.9,97.49,0,0.94,1.86,0,5.11,0,0,1.28,0,10.09,0,0,0.57,0,2.76
108-118,0,0,0,0,0.47,8.18,34.08,0,0,2.14,0.46,0,0,0.5,0,0.64,6.77,0,8.81,3.35,4.77,5.14,129.18,0.6,2.37,2.36,0,3.22,0,0,0,0,0.94,0.67,0,2.8,5.61,2.62
120,0,0,0,0,7.41,0,37.04,1.49,0,7.78,1.02,0,0,0,0,2.23,3.42,0,7.03,0,0,0,120.56,0,0,0,0,1.37,0,0,0,0,1.19,0,0,0,0,0
