stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,22.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.42,0,14.7,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,7.97,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,4.5,0,0,0,2.02,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.6,0,0,16.86,0,0,0,10.8,5.79,0,0,1.73,0,0,0
 60-70,0,0.6,0,0,0,0,0,41.01,0,0,0,3.03,6.48,0,0,1.32,0.92,0,0
 72-82,0,0.71,0,14.21,0,0,0,133.59,0,3.09,2.98,13.14,0,0,2.07,3.83,2.02,0.94,0
 84-94,0,0.56,0,0,5.21,0,0,126.94,0,5.37,0,0,0,0,1.02,0,17.53,0,0.78
 96-106,0,1.05,6.31,0,6.33,3.54,3.72,522.14,0,4.31,0,1.54,0,0,0,0,46.48,0,0
108-118,0,0,0,4.64,0,0,1.37,299.03,0,2.99,0,9.7,1.93,0,0,3,28.8,0,0
120,0,0,0,0,0,11.79,0,182.53,4.19,4.76,0,0,0,0,0,0,4.95,0,0
