stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,liver,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,35.43,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,1.04,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,6.95,0,25.07,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0
 60-70,5.01,0,559.42,0,0,0,0,0,0,0,0.94,8.99,0,0,0,0,0,0,0
 72-82,12.82,0,2561.74,0,1.66,0.86,0,0,0,6.54,0.51,61.06,0,0,7.53,0,2.48,0,3.31
 84-94,7.63,0,2267.2,0,4.82,0,0,0,0,8.68,3.2,14.57,0,1.04,1.81,0,0,0,0
 96-106,3,3.82,3046.75,0,7.58,5.54,0,3.95,0,20.54,0,28.1,0,3.29,0,0,0,4.58,0
108-118,2.9,0.56,3000.03,0,0,0,0,0.54,2.42,4.67,1.59,41,0,2.02,0,1.29,0,0,0.48
120,1.45,1.63,4525.98,7.21,0,0,0,1.78,0,9.8,7.72,54.82,10.3,0,0,0,0,0,0
