stage,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching.gland,immune,liver,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros
  5-6,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.99,0,0,0,0,21.06,0,0,0,0,0
 10-12,0,16.08,0,0,0,11.48,0,0,0,45.35,0,0,6.01,0,9.53
 14-21,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,14.79,2.8,1.12,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0
 48-58,0,0,0,0,0,2.08,0,0,0,0.46,0,0,0,0,0
 60-70,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0.76,0
 72-82,0,0,0,0,0,3.11,0,0,0,0,0.49,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0
108-118,0,0,2.92,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,2.3,0,0,0,0,0,0,1.82,0
