stage,axial,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,3.86,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,3.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0.82,0,0,0,1.56,0.95,0,2.61,0,0,0,0
 24-34,0,0.6,0,1.46,1.24,10.71,0,0.64,0,0,0,0,0,0,0,43.44,0,0,1.11,0,4.64,0,0,27.81,0,0,0,0
 36-46,0,0.56,0,4.39,0,5.21,0,0,0,0,0,0.85,0,0,0,133.25,0,1.68,0,0,12.64,0,2.35,43.12,0,0,0,0
 48-58,0,0,1.72,8.82,0,2.56,0,0,0,0,0,0.44,0,2.99,1.01,281.45,0,2.51,0,0,3.55,0,0,67.34,0,0,0,0
 60-70,0,0,0,56.16,0,8.17,0.58,0,0,0,0,10.38,0,0,0,476.07,0,0.98,0.77,0,0.68,0,0,92.68,0,3.07,0,0
 72-82,0,1.42,0,58.85,0,4.97,0,0.66,0,0.81,0,16.8,0.56,0.96,0.52,536.91,0,14.47,0,0,0.72,0,0,51.68,0,0.83,0.58,0
 84-94,0,4.44,2.58,62.03,0,7.31,1.94,1.6,0,0,0,5.12,0,0,0,396.85,0,7.02,0,0,16.5,0,0,61.38,2.75,0,0,2.43
 96-106,0,2.16,0,30.2,1,9.2,2.28,0.63,0,0,2.09,9.42,0,0,0,419.27,0,9.83,1.07,0,2.2,0,0,16.41,0.99,1.06,1.63,0
108-118,0,9.6,0,52.75,0,18.64,0,4.48,0.71,0,0,3.46,0,1.44,0,437.29,0,5.43,0,0,2.97,0,0,13.83,2.25,0.49,0,0
120,0,0,0,52.31,0,13.28,0,13.43,0,0,0,29.71,0,0,2.62,655.93,0,34.41,0,0,3.7,0,0,15.12,0,0,0,0
