stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,12.63,71.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.71,6,5.05,0,0,0,27.69,0,0,0,0,0,0,0,0,137.75,0,0,24.96,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.02,0,0,8.84,0,0,3.99,0,0,0,0
 14-21,0,0,0,0.88,0,0,0,0,0.97,0,0,0,0,0,0,23.47,0,0,0.87,0,0,0,0,3.38,0,0
 24-34,0,0,0,0.95,0,0,2.04,10.01,0,0,0,0,4.44,0,1.57,312.11,0,0,0,0,0,5.18,1.26,20.85,0,2.56
 36-46,0,0,0,0,0,0,54.13,32.4,0,0,0,0,3.47,0,0,604.91,5.34,0,0,0,0,5.81,0,67.86,0,0
 48-58,0,0,0,0,0,0,63.41,82.96,0,1,0,0,2.75,0,0,266.88,7.63,0.37,0,0,0,1.65,0,28.75,0,0
 60-70,0,0,0,0.68,0,0,61.04,76.95,0,2.49,0,2.61,13.04,0,0,76.51,4.63,0,0,0,0,18.88,0,5.92,0,0
 72-82,0,0,0,0,0,1.35,27.39,96.79,0,6.89,0,1.43,6.17,1.72,0,57.03,3.98,0.59,0,2.26,0,1,0,12.56,0.88,0.5
 84-94,0,0,0,2.97,0,3.69,29.22,54.6,0,19.34,0,4.99,2.31,0,0,77.1,7.9,5.57,0,0,0,6.54,0,2.85,0,0
 96-106,0,0,0,1.2,0,0,42.43,54.05,0.9,10.96,1.06,0.94,8.78,0,0.69,39.41,14.26,1.57,0,0,0,4.39,0,9.7,0,0
108-118,0,0,0,4.85,0.66,12.93,15.48,47.41,0,14.36,0,3.92,25.19,0.43,0,61.64,9.64,3,0,0,0.95,2.42,0,10.4,0,0
120,0,0,0,2.17,0,0,6.14,84.1,0,10.65,0,6.57,4.13,0,0,98.73,2.34,0,0,0,0,0,0,0,0,0
