stage,eye,fin_mesenchyme,glial,iridophores,mesenchyme,mucous,muscle,neural,notochord,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,3.4,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.98,0,0
 24-34,0,0,0,0,5.06,0,0.95,2.36,0,1.82,0
 36-46,0.76,0.6,0,0,6.58,0,3.09,5,0,2.24,0
 48-58,0,0,0,0,6.54,0,0,12.1,0,0,0
 60-70,0,9.24,0,0.78,11.9,0,0,14.83,1.67,0,0
 72-82,16.58,0,1.14,0,18.26,1.59,1.05,14.42,0,0,0
 84-94,8.82,1.32,0,0,25.36,0,0,4.57,0.93,0,0
 96-106,20.88,0,1.83,0,21.53,2.25,0.61,11.24,0.77,0,0.82
108-118,12.89,0.73,0,0,21.3,0,0.76,8.99,0,3.67,0
120,0,0,0,0,28.17,0,0,0,0,0,0
