stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0,0,0,5.78,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.33,0,0,12.78,6.67,0,0,0,0,0,0
 14-21,0,0,9.96,0,0,0,0,0,0,0,0,0,0,1.1,0,0,2.14,0,0,0,344.62,0,0,0,0,0,0
 24-34,0,0,0.86,1.03,0,0,2.48,1.94,0,0,0.62,0,0,0,1.77,11.26,31.51,0,0,0,998.09,1.6,0,2.28,0.81,0,0
 36-46,0,0,0,0,0,3.61,2.45,1.65,0,0.81,0,0,0,5.14,10.13,0,19.44,1.55,0,0,1303.33,0,0,0,0,0,2.9
 48-58,0,0,2.93,0,0,4.57,1.95,7.31,0.38,0,2.29,0,0.59,4.05,3.1,0.91,14.37,0,0,0,748.11,0,0,2.27,0,0,0
 60-70,0,0,1.32,0,0,0,1.4,0,0,0,0.74,0.9,0,0,2.16,0,39.91,8.3,0,0,605.63,0,0.6,0,0,0,0
 72-82,0,0,1.1,0,0,8.13,4.41,0,0,0,0,0,0,0.87,0.56,0,7.94,0,0.56,0,311.06,0,0,0,0,0,5.43
 84-94,0,0,0.89,8.55,0,0.62,4.13,0,0,0.57,4.86,0,0,3.8,2.57,3.26,34.33,0,0,0,1334.2,0,0,0,0,0,0
 96-106,0,0,12.84,0,0,15.93,5.31,0,0,0,6.35,0,0,1.85,4.4,0,27.64,0,0,0,889.86,0,0,0,0,1.67,0
108-118,0,0,8.13,0,2.22,9.94,2.9,4.2,0,0,8.01,0,0,4.99,7.33,0,11.17,0,0,0,717.7,0,0,0,0,0,0
120,0,0,7.82,0,0,0,2.67,0,0,0,2.26,0,0,1.76,1.47,0,0,0,0,0,220.87,0,0,0,0,0,0
