stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,12.66,416.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.49,0,0,0,0
  5-6,32.9,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83,0,0,0,0,0,0
  7-9,45.59,15.15,12.06,0,0,0,0,0,12.34,0,0,0,0,0,0,0,0,0,0,25.68,0,0,0,58.35,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.05,12.43,0,0,25.78,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,3.37,0,0,0
 24-34,0,0,0,0.61,0,0,0.68,0,0,0,0,1.02,1.14,0,0.62,0,0,0,0.72,14.45,0,0,5.71,0,0,0,3.55,0,0,1.32
 36-46,0,0,0,0,0.59,2.04,0,0,0,0,0,0,1.67,0,4.89,3.06,0,0,0,10.74,0,0,5.38,0,0,1.01,0,0,0,3.31
 48-58,0,0,0,0,1.67,0,0,0,0,0,0,0,4.9,0,5.14,0.95,0,0,0,14.31,0,0.59,8.5,0,0,0,2.67,0,0,4.89
 60-70,0,0,0,0,8.7,0,0,14,0,0,0,0,15.56,0,2.33,1.93,0,0,0,21.01,0,2.59,23.99,0,2.78,0,3.77,0,0,0.59
 72-82,0,0,0,0,12.05,0,0,1.19,0,0,0,0,18.72,0,0,4.87,0,3.75,0.97,33.58,0,0,29.08,0,1.31,0,1.77,0,1.84,0.66
 84-94,0,0,0,0,4.69,0,1.27,10.41,0,0,0,0,9.86,0,1.55,0.95,2.28,0,0,35.7,0,0,27.4,0,4.47,0,4.67,0,0,4.89
 96-106,0,0,0,3.06,16.14,0,0,26.27,0,0,0.75,0,35.71,3.93,0,5.01,0,1.7,0,39.49,0,0,38.9,0,0,1.78,0,0,0,3.96
108-118,0,0,0,0,4.39,0,0,17.81,0,0,0,0,12.9,0,0,8.2,0,2.73,0,44.59,0,0.67,62.82,0,3.32,0,0,0.68,0,9.6
120,0,0,0,0,15.01,0,0,17.59,0,3.83,4.79,0,19.43,0,0,0,0,0,0,86.45,6.22,0,36.49,0,0,0,0,0,0,6.58
