stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,63.87,77.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.29,56.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.72,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.73,0,6.71,0,0,0,16.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.24,0,0,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.86,0,0,1.13,0,0,0,1.25,1.67,0,0,0,0,0,0,0,3.65,0,0,1.14,95.03,0.81,0,0,0,0,0,0,0,0,2.77,36.76,0,0,0,0,0
 24-34,0,0,0.84,0,1.08,0.81,0,16.81,0,0,0,0,0,0.95,0,0,0.85,0,0,0,12.18,0,0,2.41,626.99,0,8.76,1.49,0,0,1.1,0,0,0,0.63,141.45,0,0,0,0,0
 36-46,0,0,1.35,0,0.57,0,0,60.82,0,0,0,14.05,0.95,0,0,0,0,0,0,2.13,18.15,0,1.54,2.61,1320.22,0,13.19,0.91,0,0,0,0.81,0,0,0,259.15,0,0,0,0,2.67
 48-58,0,0,0,0,2.39,1.97,0,252.33,0,3.95,2.24,54.42,0,0,0,0,0,0.4,0,4.08,13.14,0,1.67,3.63,1846.53,0,4.81,2.59,0,0.56,0,0,0,0,0,307.58,0,0,4.47,0,12.79
 60-70,0,0,0,0,3.98,0,0,545.85,0,0,2.56,77.35,4.73,0,0,0,0,1.16,0,0,55.26,0,0,0.88,2427.7,0,8.1,0.63,0,1.65,3.56,0,0,0,0,298.38,0,0.82,2.69,0,0
 72-82,0,0,0,0,8.01,8.04,0,621.43,0,4.8,0,43.87,0.56,0,2.95,0,0.52,0,0,0,38.42,0.52,1.32,3,1871.94,0,9.52,3.01,0,0,5.46,0,0,3.45,0,159.9,0.53,1.92,4.27,0,17.03
 84-94,0,0,0,0,7.56,8.61,0,388.27,0,0.56,2.73,44.82,0,0,2.93,0.83,0,0,0,3.45,34.01,1.81,7.74,3.93,1145.48,0.89,9.09,3.32,0,0,2.39,0,0,0,0,104.46,0,0,8.8,0,0
 96-106,0,0,2.46,0,10.97,2.93,0,325.64,0,0,9.11,43.41,0,0,1.08,0,0.74,0.63,0.63,1.26,15.99,0,0,2.04,880.88,0,12.25,8.01,0,4.17,2.02,0,0.69,0,0,37.49,0,0,4.71,0,0
108-118,0,0,2.91,0,5.31,2,0,366.8,0,0,0.59,56.15,0,0,0.46,0,0,0,0.88,0,11.93,0.53,0.79,0.79,1270.53,0,3.75,6.91,0,0,0,0,0,0,0,50.45,0,0,2.2,3.85,0
120,0,0,0,0,22.23,29.01,2.94,473.92,18.62,3.62,0,100.88,0,0,1.61,0,0,0,0,0,49.01,0,22.94,2.55,3174.05,0,41.62,0,0,0,1.34,0,0,0,0,49.03,0,0,7.9,0,14.84
