stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,138.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0,63.13,0,0,0,19.88,0,0,0,0,0,0,0,0,0
 10-12,0,5.62,0,0,11.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.34,0,0,0,47.12,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.61,0,1.96,0,0,0.97,0.97,0,0,0,0,0,0,0,5.46,0,3.18,26.14,0,0.84,0,0,8.24,2.23,0,1.91,12.74,0,0,0,0
 24-34,0,0.62,0.76,0,15.08,0,0,2.03,0,0,0,0.73,0,0,0,1.37,13.73,0,1.53,171.76,0,1.14,1.46,0,1.46,0,0,0,32.88,0,2.14,0,0
 36-46,0,0,0,0,17.86,0,0,5.82,0,0,2.12,0,0.57,0.6,1.07,0,8.72,0,6.15,106.14,0,0,0.75,0,1.26,0,0,0,10.18,0,1.77,0,0
 48-58,0,0,0,0,31.14,0.44,1.36,13.21,0,0,0,0,0,0.37,0,0,13.18,0,1.94,106.32,0,0.88,2.1,0,4.4,0,0,0,20.09,0,1.49,0,2.26
 60-70,0,0,0.9,0,22.51,0,0,11.51,0,0,0,0,0,1.04,0,0,8.19,0,2.2,63.94,2.62,1.27,0.94,0,3.75,0,0,0,8.4,1.22,0.58,0,0
 72-82,0,0,0,0,12.25,0,3.87,4.34,0,0,0,0,0,0,0,0,8.02,2.1,0.66,27.51,0,0.75,0,0,0,0,0,0,3.21,0,0.62,0.51,0
 84-94,0,0,0,0,1.72,0,0,3.36,0,0,0,0,0,0,0,0,4.48,0,1.35,18.83,0.56,0,0,0,2.62,0,0,0,2.39,0,1.07,0,0
 96-106,0,0,0.76,0,1.76,0.58,0.84,9.98,0,0,0,0,0,0,0,0,13.75,0,0.67,10.6,0,0,0,0,6.22,0,0.77,0,0,0,2.46,0,0
108-118,0,0,0.44,0,6.84,0,0,3.98,0.63,0,1.95,0,0.43,0,0,0,5.38,0,1.64,9.67,0,1.3,0,0,1.26,0,0,0,0,0,0,0,0
120,0,0,0,1.31,16.9,0,0,14.36,2.74,0,0,1.25,0,0,0,0,9.22,7.87,0,20.12,0,1.77,2.43,0,4.78,0,0,0,2.39,0,0,0,0
