stage,endocrine.pancreas,endoderm,eye,fin.mesenchyme,glial,iridophores,lateral.line,mesenchyme,muscle,neural,otic,spinal.cord
  7-9,0,5.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,14.08,0,5.4
 24-34,0,0,2.98,0.62,1.08,0,0,2.59,1.43,34.79,0,16.32
 36-46,0,0,3.94,0,2.7,0,0,7.09,0.67,37.18,0,19.1
 48-58,0,0,1.48,0.42,9.32,0,0,6.4,0,43.11,0.41,22.67
 60-70,0,0,2.43,0,13.36,0,0,12.35,0,111.25,0.89,53.55
 72-82,0,0,3.44,0,1.82,0,0.89,8.89,0,53.58,0,29.88
 84-94,1.15,0,1.61,0,5.34,0,1.57,4.36,0,39.38,0,3.37
 96-106,0,0,6.2,0,2.19,0,0,8.52,0,47.06,0,4.9
108-118,0,0,0,0,1.51,0.65,0,2.94,0,23.32,0,2.29
120,0,0,0,0,0,0,0,5.57,0,0,0,0
