stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pgc,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0,0,3.79,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,1.39,0,1.86,0
 24-34,0,0,1.47,0,0,0,0,0,0,1,0,0,20.07,0,0,0.87,0,6.18,0
 36-46,0.56,0,0.58,0,0,0.62,0,0,0,0,0,0,25.47,0,0,9.53,0,18.33,0
 48-58,0,0,0,0,0,0,0,0,0,0.39,0.82,0,2.67,0,0,36.07,0,5.61,0
 60-70,0,0,0,0,0,0.77,0,0,0,0,0,0,3.79,0,0,129.7,0,0,0
 72-82,0,0,1.16,1.33,0,5.78,0,0,0,2.35,2.36,0,8.4,0,0.56,315.23,0,1.13,3.4
 84-94,1.63,0,2.4,3.65,0,0,0,2.13,4.77,0,0.57,0,6.69,0,0,825.08,0,3.01,0
 96-106,0,2.01,7.85,5.04,0,0.57,1.66,5.17,0,1.87,2.35,0,19.43,1.76,0,1095.82,0,0,0
108-118,0.67,0,1.86,2.69,0.43,0.74,0,6.32,0,1.15,4.82,2.04,16.71,0,0,1022.01,0,0,0
120,1.76,0,0,8.06,0,0,0,3.75,0,0,3.51,3.59,0,0,0,371.25,0,0,0
