stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0.84,1.08,0,0,0,0,0,0,0,0,1.27,11.38,0.94,0,0,1.28,0,2.06,0,0,9.26,0,0,0,0
 24-34,0,1.41,0,3.76,0,0,0,1.94,0,0,0.98,0,0,0,0,4.83,0,0.9,36.58,0,0,0,0,14.32,0,0,1.34,3.62,0,0.65,0,0
 36-46,0.84,2.38,0,2.72,0,0,0.57,0,0,0,1.57,0,0,0,2.05,2.58,0,1.76,34.17,0,0,0,0,34.89,0,0,0,7.75,0,0.91,0,0
 48-58,0,4.43,0,3.63,0,0,0,1.89,0.39,0,0,0,0,0,0.78,5.29,0,1.26,35.09,6.04,0,0,0,47.59,0,0,0,7.91,0,0,0,1.01
 60-70,0,0,0,13.4,0,0,1.37,0,1.06,0.57,0,0,0,0,1.05,4.03,0,1.06,35.53,0,0,0,0,34.08,0,0,0,2.62,0,0,0,0
 72-82,0,2.4,2.24,8.44,0,0,0,1.94,4.91,0,0,0,0.67,0,0,19.69,2.17,0,24.59,0,0,0.89,0,20.71,0,0,0,0,0,0.83,0,0
 84-94,0,2.78,0,1.41,0,1.43,0,2.07,5.17,0,0.6,0,0,1.64,0,4.96,0,2.93,6.83,0,1.55,0,0,53.4,0,0,0,0,1.11,0,1.2,0
 96-106,0,0,0,5.23,0,0,0,1.16,0.74,0,0,0.63,1.31,0,0,13,0,0,5.53,0,1.76,0,0,66.35,0,0,0,0,0,5.06,0.8,0
108-118,0,7.1,0,18.58,0,0.56,0,7.43,3.69,0,1.12,1.17,0,0,0,11.19,0,0,11.3,0,0,0,0,60.74,0,0.81,0,0,2.03,0,0,0
120,0,25.01,4.27,16.01,1.14,0,0,0,9.75,2.66,0,0,0,0,0,39.16,0,1.93,9.23,0,0,2.43,0,72.76,0,1.21,0,0,0,0,0,0
