stage,blastomeres,epidermis,eye,fin.epithelia,glial,hatching.gland,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,spinal.cord,vasculature
  3-4,89.37,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.8,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.04,0,0,5.13,0,24.43,0,0,4.07,0,0
 10-12,0,0,0,0,0,4.01,0,15.93,0,0,0,9.29,0
 14-21,0,11.72,0,0,0,0,0,7.7,0,0,0,0,0
 24-34,0,5.52,0,0.61,0,0,0,11.64,0,0,0,0,0
 36-46,0,0,2.66,0,0,0,0,9.91,0,0,0,5.26,0
 48-58,0,2.54,0,0,0,0,0,12.76,0,0,0,3.89,0
 60-70,0,7.77,0.73,1.62,0,0,0,28.38,0,0,0,7.24,0
 72-82,0,0.51,4.66,0,0,0,0,37.33,1.82,0,0,9.72,0.94
 84-94,0,0,1.76,0.62,0,0,2.45,28.74,0,0,0,2.98,0
 96-106,0,0,2.88,0,0.62,0,0,10.66,0,0,0,0,0
108-118,0,2,4.17,0,0,0,0,19.33,1.11,0.56,0,2.51,0
120,0,4.41,0,0,4.4,0,0,57.72,0,0,0,1.19,0
