stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.52,8.9,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.27,0,0,0,3.58,0,0,0,0,0,0,0,0,0
 10-12,13.9,11.92,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.32,6.39,0,0,25.06,0,3.26,0,0,0,0,0,0,0
 14-21,0,0,1.71,0,0,1.18,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,21.14,0,0,1.09,0,5.59,0,2.53,3.29,0,0,0,0,0
 24-34,0,0,3.72,0,0,2.84,0,0,1.85,0,0,0,1.73,0,0,0,0,7.96,0,5.14,85.53,0.82,0,0.61,0,11.69,0,0.83,8.38,0,0,1.75,0,0
 36-46,0,0,0,0,0,6.04,0,0,1.64,0,0,0,0,0.65,0,0,6.77,6.18,3.06,1.42,41.14,0,0,0,0,0.63,0,0,10.5,0,0,0,0,19.07
 48-58,0,0,6.93,0,0,16.58,2.55,0,2.01,0,0,0,0,5.13,0,0,12.96,8.7,1.17,2.88,34.01,0,0,0,0,4.62,0,0,6.39,0,0,0,0,9.85
 60-70,0,0,0,0,0,3.39,0,0,3.28,0,0,0,0,6.68,0,0,15.68,6.34,0,0,17.78,0,0,0,0,2.33,0,0,0.9,0,0,0,0,25.51
 72-82,0,0,1.22,0,0,8.28,0,0,6.32,0,2.4,0,0,22.74,0.91,0,1.02,20.88,0,0,24.48,0,0,0,0,8.12,0,0,0,0,0,0.95,0.81,0
 84-94,0,0,8.29,4.99,0,10.42,0,0,2.22,4.44,0,0.69,0,18.21,0,1.49,59.71,18.83,1.87,0,19.32,0.76,0,3.11,0,19.6,0,0,1.33,0,0,0,0,14.58
 96-106,0,0,0.56,0,0,8.08,0.73,0,2.89,0,0,0,0,17.03,4.05,0,20.36,34.31,0,0,33.36,0,0,1.27,0,14.1,0,0,0.84,0,0,0.98,0,32.61
108-118,0,0,6.17,0,2.22,9.34,0.51,1.6,1.22,0.84,1.44,2.17,0,43.22,0,0,33.29,21.82,2.75,0.58,16.16,0,0,0,0,8.99,0,0,0,1.83,1.98,1.88,0,27.14
120,0,0,18.72,0,1.71,21.02,1.06,0,23.48,0,0,0,0,5.82,0,0,9.16,1.44,0,0,6.12,0,3.57,0,0,8.08,0,0,0,0,1.95,6.12,0,0
