stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,319.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.43,326.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1,0,0,0,10.04,0,0,0,0,0,0,0,0,0
  7-9,0,27.46,24.01,0,0,49.3,0,0,0,37.47,0,0,0,0,0,0,0,336.98,0,0,0,131.55,0,0,7.32,0,0,0,0,0,0
 10-12,0,0,13.64,0,12.15,21,0,0,0,5.16,0,0,0,0,0,0,0,390.31,3.12,0,0,38.39,0,0,0,6.27,0,3.28,0,0,0
 14-21,0,0,0,5.84,1.23,0.84,0,1.75,0,0,0,0.83,0,0,2.98,0,4.08,39.84,1.54,0,0,0,0,0,0,1.28,3.3,9.94,0,0,0
 24-34,0,0,0,0.64,0,8.86,0,2.25,0,0,2.35,0,0,0.9,9.23,0,0.9,118.73,0,0,0,0,0,0,0,0,0,30.13,0,0,0
 36-46,0,0,0,0.55,0,16.56,0,5.64,0,0,0,0,3.68,0,14.76,0,0,180.68,0,0,0,0,0,0,0,0,0,30.96,0,3.59,0
 48-58,0,0,0,0.37,0,20.38,0,7.13,0,0,0,0,0,0,13.03,0.53,3.15,154.44,0,1.25,0,0,0,0,0,0,0,30.93,0,0.58,0
 60-70,0,0,0,0,0,41.68,0,4.2,0,0,0,0,1.14,0,16.76,0,0.93,108.59,0,0,1.16,0,0,0,0,0,0,23.21,0,0,0
 72-82,0,0,0,0.74,0,24.87,0,5.41,0,0,0,1.02,0,0.5,7.52,1.02,0,39.27,0,0,0,0,4.65,0.49,0,0,0,11.55,0,0,0
 84-94,0,0,0,0,0,18.98,0.85,3.38,0,0,0,0,0,0,10.74,0,0,34.74,0,0,0.78,0,0,0,0,0,0,3.9,2.72,2.48,0
 96-106,0,0,0,0,0,3.95,0,3.82,1.56,0,2.41,0,0,0,10.17,0,0.58,24.92,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,5.94,0,6.96,0.81,3.65,0,0,0,0,0,0,19.36,0,0,21.22,0,0,0,0,0,1.95,0,3.45,0,1.09,0,0,1.09
120,0,0,0,1.38,0,51.98,0,8.85,0,0,0,0,0,0,9.29,0,0,61.32,0,0,0,0,0,0,0,0,0,0,0,4.84,0
