stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,38.82,402.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0,0,0,0
  5-6,32.86,359.83,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.69,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0
  7-9,6.67,25.99,0,18.73,0,0,0,104.36,0,0,0,0,0,20.63,0,0,0,0,0,0,0,0,0,0,610.85,20.15,0,216.48,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.65,0,44.27,0,30.47,0,57.17,0,0,0,0,0,44.98,0,0,0,0,0,0,0,0,0,0,655.83,9.28,0,166.17,0,0,0,0,10.09,0,0,0,0,0,0
 14-21,0,0,0,0,41.53,4.39,0,4.26,0,6.49,0,0,0,0,0,0,0,0,0,0,0.81,0,0,1.07,26.56,0,0,2.5,0,0,0,10.68,0,3.52,54.06,6.21,0,0.93,0
 24-34,0,0,0,0,80.77,0.9,0,6.71,0,40.27,0,0,0,0,0,0.98,0,0,1.98,0.87,2.06,7.38,0,0.67,36.98,0,0,0,0,0,0,0,0,0.72,7.37,4.77,0,1.56,6.44
 36-46,0,0,0,0,78.97,0,0,8.19,0.95,30.4,0,0,0,0,0,1.57,0,0,0,6.38,0.95,0,0,0.64,22.58,0,0.56,0,0,0,0.81,0,0,0,0,1.98,0,0,0
 48-58,0,0,0.54,0,84.63,0,0,5.22,1.84,35.88,0,1.42,0,0,0,0,0,0,6.57,2.93,2.35,0,0,2.09,27,0,0,0,0,0,0,0,0,0,0,0,0,0.67,3.24
 60-70,0,0,0,0,61.45,0,0,9.48,0,39.09,2.05,1.16,4.07,0,2.95,2.09,0,0,1.41,1.32,0,2.41,0,0,13.47,0,0,0,0,0,0,0,0,0,0,3.41,0,0,0
 72-82,0,0,0,0,47.24,0,0,6.68,0,13.99,0,2.35,0.66,0,4.09,5.17,0.64,0,0,0.98,0.72,0.56,2.05,0,11.85,0,0.74,0,0,1.55,0,0,0,0,0,1.54,0,0,0
 84-94,0,0,0.66,0,47.38,0,1.84,10.44,0,35.96,0,0.72,0.68,0,5.05,5.54,6.6,0,1.12,11.71,6.76,0,0,0,9.2,0,0.56,0,0,2.1,0,0,0,0,0,0.98,0,0,0
 96-106,0,0,0,0,35.48,0,0,10.26,0,21.51,0,0,3.76,0,6.52,2.8,3.18,0,1.58,0.98,3.66,0.63,0,0.83,11.5,0,0.89,0,0,3.26,0,0,0.73,0,0,1.12,1.97,0,2.86
108-118,0,0,0,0,119.96,0,8.72,5.22,0,52.22,0,3.9,2.35,0,21.27,11.65,14.34,1.38,7.82,16.53,7.92,0.48,0,0.56,26.26,0,0.8,0,1.37,1.02,0,0,1.66,0,0,0,0,0,2.95
120,0,0,0,0,230.89,0,4.73,0,0,52.89,0,0,12.38,0,24.57,1.07,15.57,2.69,1.43,0,19.13,0,0,0,30.19,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92
