stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,61.67,882.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.88,0,0,0,0,0,0,0,0
  5-6,126.59,1631.41,0,12.33,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,71.85,0,0,0,26.61,0,0,0,0,0,0,0,0,0,0
  7-9,28.63,18.35,0,22.78,0,0,86.3,0,0,0,0,0,29.69,0,0,0,0,0,0,0,0,0,0,494.09,3.53,0,0,149.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.09,0,69.57,0,0,33,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,403.63,13.84,0,0,71.16,0,0,0,14.54,0,0,0,0,0,0
 14-21,0.89,0,0,3.18,31.68,2.41,17.42,0,0,0,5.35,0.87,0,0,0,0,0,0,0,7.76,0,0,10.6,363.06,4.69,0,0.97,9.42,0,0,27.17,0.85,0.81,20.91,74.43,0,0,0
 24-34,0,0,0,0.6,5,0.91,40.93,0,0,0.68,5.64,0,0,3.22,2.65,0,0,0.65,0,21.93,0,0,9.92,423.75,0,2.7,2.03,0,0,11.48,0,0,0,1.25,77.58,0,5.32,0
 36-46,0,0,0,0,1.77,0,68.38,0,0.57,0.79,10.04,1.33,0,0,0,1.79,0,0,0,16.3,0.95,0,7.71,227.2,0,0,4.49,0,0,10.38,0,0,0,0,41.84,0,0,5.9
 48-58,0,0,0,0,10.08,0,38.63,0,0,1.1,17.49,1.89,0,0,0,0,0,0.43,0.39,10.01,0,0.87,7.17,81.38,0,0,0.71,0,0,4.43,0,0,0,0,14.78,0,3.51,0.49
 60-70,0,0,0,0,4.91,0,21.06,0.81,0,0,18.11,0,0,0,0,0,0.67,0,0,14.45,0,2.31,0,19.94,0,0,0,0,0,2.36,0,0,0,0,3.37,0,1.22,0
 72-82,0,0,0,0,1.7,0,18.11,0,0,0,9.14,0,0,0,0.6,0,0,0,0,17.25,0,1.11,3.37,40.91,0,0,0.81,0,0,5.02,0,1.77,0,0,1.48,0.5,3.93,0
 84-94,0,0,0,1.01,1.03,0,26.43,0,0,0,10.82,0.62,0,0,0.84,0,1.31,0,0,7.11,0,0,3.91,9.3,0,0.83,1.31,0,0,4.41,0,0,0,0,2.13,0,3.89,0
 96-106,0,0,1.06,0,0,0,5.05,0,0,0,10.21,1.27,0,0,0,0,0,0,0,11.23,0,1.22,1.26,20.01,0,0,0.72,0,4.62,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.54,0.66,6.8,0,0.47,0.89,9.34,0.45,0,0,0,0,0.54,0,0,22.17,0,0.76,3.55,29.71,0,3.95,0.74,0,0,4.18,0,0,0,0,0,0,4.73,0
120,1.19,0,0,0,5.76,0,18.63,0,0,0,16.61,0,0,0,0,0,0,0,0,5.17,0,0,3.45,82.43,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0
