stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,46.25,0,0,0,28.81,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,2.06,11.7,7.87,0,0.81,0,0,0,0,5.14,0,0.89,0,0,0,0,22.14,0,22.64,0,0,3.98,98.6,1.75,4.32,2.01,1.69,0,1.89,13.31,0,1.33,12.32,54.84,0,0,0,0,0
 24-34,0,1.63,0.76,4.9,0,0,16.36,0,0,2.06,6.31,0.73,0,0,0,0.89,0,0,9.5,0,25.23,0.71,0,13.18,359.37,0.7,8.24,2.84,0,0,1.75,0,0,0,2.03,82.86,0,0,10.47,0,1.48
 36-46,0,0,0,2.39,0,0,77.9,0.58,0.56,0.78,29.03,0.72,0,0,1.96,0,4.15,0,0,0.7,27.5,0,0.63,14.19,590.9,1.91,11.16,0.71,0,0,11.75,0,0,1.16,0,114.89,0,0,2.99,0,0
 48-58,0,0,0,2.62,0,0,148.27,0,0.62,0.76,61.96,0,0.81,0.69,0,0,0,1.46,3.72,0,46.04,0,0,12.63,445.52,0.72,8.69,7.99,0,0,3.62,0,0,3.46,0,108.16,0,0,1.95,0,0
 60-70,0,0,0,0,0.62,0,139.56,0,0,1.03,55.39,0.63,0,10.19,5.29,0,0,0,1.82,2.61,54.35,0,2,3.97,348.33,0,12.31,7.18,0,0,5.46,0,0,0,0,85.85,0,0,3.95,0,13.51
 72-82,0,2.47,0,5.2,4.23,0,128.14,0,0,1.79,84.77,1.39,0,0,0.54,0.54,0.73,1.35,6.43,1.81,71.1,0.61,5.45,9.84,420.55,6.52,4.64,3.69,0,2.33,1.73,0,1.61,0,0,69.89,0.5,3.73,8.75,1.39,3.79
 84-94,0,7.2,0,9.72,2.57,0,143.22,3.24,0,1.47,81.63,2.53,0,0,0,0,0,1.05,30.85,1.74,46.59,0,4.99,2.77,345.21,1.83,13.18,3.71,0,0,2.24,0,0,0,0,50.47,1.53,1.37,2.18,1.35,15.47
 96-106,0,2.48,0,17.86,14.45,1.07,105.01,1.3,0,0.62,69.87,3.29,0,5.11,1.3,0.74,1.14,1.48,32.9,0,93.19,0,2.64,3.16,350.33,0.57,15.58,7.34,0,2.93,3.7,0,0,2.1,0,24.97,1.44,1.15,7.68,3.71,0.75
108-118,0,5.06,0,15.62,6.63,2.02,131.53,0.91,1.47,1.43,110.77,0,0,5.67,4.75,0.49,0.99,1.48,51.38,0,73.78,1.14,6.6,5.96,534.25,0,8.06,5.82,0,1.8,2.46,0,1.38,0.55,0,28.81,0.92,0,3.29,0,5.97
120,0,0,0,42.11,18.63,0,139.41,15.92,2.27,4.41,122.92,0,0,11.89,10.93,0,0,1.77,36.62,1.6,164.29,0,20.89,5.89,960.73,0,6.64,20.66,0,14.47,1.7,0,0,1.52,0,14.42,0,2.55,0,0,0
