stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.35,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.53,7.36,0,0,22.84,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,1.29,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0.88,27.94,0.85,0,0,0,0,6.06,0.87,0,2.16,4.76,0,0,0,0,0
 24-34,0,0,2.5,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0.77,99.51,0.62,0,1.65,0,0,6.51,0,0.99,0.62,23.59,0,0,3.87,0,0
 36-46,0,0,5.54,0.57,0,6.33,1.47,1.42,0.73,0,0,0,0,0,0,0,3.95,2.51,0,0,3.63,348.05,4.54,15.84,0,0,0,0,0,0,0,31.08,0,0,1.9,0,0
 48-58,0,0,3.23,0.37,0,25.74,0.58,0,10.78,0.51,0.51,0,0,0,0.41,0,0.5,8.35,0,0,0,690.45,0,4.45,2.06,0,0,1.92,0,0,0,51.49,0,0.89,0,0,0
 60-70,0,0,1.2,0,0,124.83,0,0,6.95,0,0,0,0,1.29,0.8,0,0,12,0,0,1.02,1150.84,2.21,7.62,0,0,0,8,0,0,0,121.29,0,0,1.71,0,0
 72-82,0,1.41,1.39,0,0,235.21,0,0,17.77,0,0,0.61,0.7,0,0,0,0,14.97,0,0,0.93,1481.82,0,16.76,0.71,0,0,3.69,0,0,0,109.39,0.87,0,1.46,0,0
 84-94,0,0,12.59,5.39,0,250.02,0,2.98,15.25,0,1.02,2.45,1.17,0,0,0,0,38.22,0,0,0.75,1109.51,0,8.52,2.77,0,0,15.76,0,0,0,92.71,0,0,1.45,2.69,0
 96-106,0,0,7.39,0,0,245.06,0.59,0.59,16.92,0.62,0,1.3,0,0,0,0.6,0,24.4,0,0,0,1065.15,0.79,19.48,2.37,0,0.97,11.81,0,0,0,26.82,0,1.93,2.1,0,0
108-118,0,0,12.16,1.29,0.49,253.81,0,1.36,22.87,2.15,0,7.7,0.86,2.3,0,0.56,0,28.05,3.66,0,0.51,1414.93,0,3.82,1.34,0,0,5.1,0,0,0,52.18,0.89,0.53,2.28,0,1.42
120,0,0,28.26,8.49,0,354.93,0,3.21,35.97,0,0,1.42,0,0,0,1.05,0,22.81,1.31,8.33,0,2507.53,3.96,14.34,13.55,0,0,12.08,0,0,0,75.3,2.25,0,17.31,0,0
