stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,heart,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,39.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,46.77,5.59,20.8,0,0,0,0,0,0
 10-12,0,0,0,13.06,0,15.59,0,0,0,0,0,0,0,0,64.44,9.28,161.86,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.67,0,1.8,2.26,0,0,13.18,6.18,46.88,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.07,0,6.28,6.25,0,0,0,3,6.27,0.59,0,0
 36-46,0,0,0,0,0,0,3.67,0,0.7,0.65,2.66,2.44,0,2.9,4.36,0,0,0,4.37,0,0.71,0,0
 48-58,0,0,0,0,0,3.42,4.28,0,0,0,0,5.78,0,3.74,3.82,0,0,0,1.21,0,0.69,0,0
 60-70,0,0,0,0,0,3.29,0.8,0,0,0,0,1.94,0,1.93,5.78,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.69,1.84,0.69,0,0,0,0,0,0,1.37,0,1.13,0,3.41,0,0,0,0
 84-94,0,0,0,0,0,0,1.96,0,0,0,0,0.86,0,2.49,0,0,0,0,0,0,0,1.13,0
 96-106,0,0,0.99,0,0,0,0.57,0,0,0,0,0,1.41,0,3.22,0,0,0,0,0,0,0,0.73
108-118,0,0,0,0,1.21,4.13,1.35,0,0,0,0,0,0,0.89,4.32,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,3.33,0,0,0,0,4.82,0,0,0,0,0,0,0,0,0,0,0
