stage,epidermis,eye,fin_mesenchyme,gut,neural,periderm,pronephros,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,2.77,0,0
 24-34,0,0,0,0,0,0,1.19,0,0.72,0
 36-46,0,0,0,0,0,0,0,0,0.57,0
 48-58,0,0,0.81,0,2.67,0,0,0,0,0
 84-94,0,0,0,0.77,0,0,0,0,0,3.4
 96-106,0,1.01,0,4.63,0,0.57,0,0,0,0
108-118,0.45,0,0,1.12,9.21,0,0,0,0,0
120,0,0,0,1.38,8.21,0,0,0,0,0
