stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,15.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,17.09,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93,0,0,0,37.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,2.73,0,0,0,0,0,0,0,5.16,0,88.19,31.49,3.91,0,0,0,0,0
 24-34,0,0,2.95,1.54,0,2.15,174.22,0,0.83,0,0,0,0.6,0,1.07,0,0,4.62,0,0,26.72,47.38,0.87,0,0,0,0,2.1,0,0.85,1.12,118.57,19.36,4.76,0,0,0.98,0,0
 36-46,0,0,1.51,0,0,4.71,616.8,0,0,2.17,0,0,0,0,0,0,0.66,15.52,0,0,48.31,103.32,0,0,0,0,0,4.63,0,0,0,190.52,4.21,2.79,0,0,0,0,4.18
 48-58,0,0,0.43,0,0,70.54,713.11,0,1.71,10.32,0,0,0,0.39,0,0,3.73,21.7,0,0,82.76,134.85,0,0.64,0,0,0,8.68,0,0,0,169.12,0,19.15,0,0.4,2.28,0,12.41
 60-70,0,0,14.15,0,0,31.37,459.16,0,4.72,9.6,0,0,3.46,0,1.55,0,0,27.06,0,0,60.91,106.16,0,0,0,0.81,0,0,0,0,0,106.75,0,13.31,0,0,0,0,3.07
 72-82,0,0,1.32,0,0,61.43,276.36,0,0.98,4.44,0,1.97,0,1.38,0,5.32,0,42.31,0,2.02,70.76,109.08,0,0,1.16,0,0,5,0,0,0,29.86,0,5.24,0,0,3.13,1.83,9.78
 84-94,0,0,13.47,12.56,0,96.48,536.74,0,1.1,17.71,0.59,0.87,0.71,0,0,0,0,47.28,0,1.89,109.8,123.97,0,1.84,0,0,0,10.04,0,0,0,86.62,0,3.54,0,4.61,3.85,0,7.59
 96-106,0,1.53,9.47,18.89,0,154.98,849.17,0.89,1.71,15.3,6.71,4.16,0.61,1.67,0,20.17,0,55.93,0,0,99.5,199.26,9.83,0,0,0,7.67,20.4,3.39,0,0,97.89,0,12.04,0,0,7.82,0.59,6.16
108-118,0,1.57,13.01,7.35,1.08,102.73,708.51,2.29,3.94,22.63,4.4,0.5,0,1.02,0.82,9.01,0,53.24,0,0.71,145.6,160.59,0.46,0,1.26,0,3.53,19.02,0,0,0,89.42,0,3.74,2.39,1.46,1.81,1.28,10.07
120,0,0,10.01,0,0,34.84,521.8,0,0,1.91,1.36,0,0,2.6,0,12.82,0,60.29,1.59,2.13,83.44,182.02,0,3.36,0,19.84,0,4.71,0,0,1.56,31.81,0,4.81,0,0,0,0,0
