stage,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,lateral.line,melanocytes,mesenchyme,mucous,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,4.61,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.72,16.24,0,1.32,3.46,0,2.17,0,0,2.39
 36-46,0,0,0,1.53,0,0,1.58,0,0,0,0,0,36.67,0,0,2.4,10.02,4.1,0,0,1.99
 48-58,0,7.38,0,2.16,0,0,0.58,0,0,0,0,0,46.98,1.07,0,1.4,0,1.52,0,0,0.42
 60-70,0,19.23,0.65,0,15.31,0,0,0,0,0,0,0,57.38,0,0.63,11.26,0,4.93,0,0,0
 72-82,0,12.81,0,0,0,0,1.53,0,0.79,0,0.59,0,53.73,0,0,1.45,0,13.2,0,0,0
 84-94,0,25.58,0,0,2.45,0.96,0,6.16,0,0,0,0,65.17,0,0,1.53,0,0,0,0,0
 96-106,0,32.31,0,1,0,0,0,3.07,1.19,0,0,0,31,0,1.11,0.58,0,5.18,0,0,0
108-118,0,19.71,0,0,1.07,0,0,0,0,0,0,0,16.89,0,2.07,0.74,0,10.01,0.95,0,0.61
120,2.07,26.43,2.29,0,14.08,0,0,0,1.19,1.61,0,0,40.45,14.66,0,1.57,0,0,1.84,1.51,0
