stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,60.56,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,30.35,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,26.07,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.93,0,0,0,47.98,0,0,0,0,0,5.05,0,0,0,0,0
 14-21,0,0,0,2.64,48.6,0,0,1.75,0,0.82,0,0.98,0,7.08,0,0,0,0,0,0,0,17.09,0,0,21.5,60.71,0.95,0,1.78,2.02,0,0,4.77,2.12,3.38,40.91,13.87,0,0,0,0
 24-34,0,0,0,0,63.42,0,0,3.71,2.17,7.14,5.99,20.32,0,0,5.26,0,0,0,0,0,2.88,73.67,0,0,51.75,49.05,0.81,2.56,2.22,0,0,0,0,3.5,0.94,22.82,8.69,0,1.99,0,8.07
 36-46,0,0,0,0,64.5,0,0,12.97,4.51,12.66,18.7,1.02,0,0,8.68,0,2.72,0,2.39,0,3.06,110.44,0,1.32,38.42,65.77,0,0,3.86,0,0,0,0,0.59,4.61,1.38,27.33,0,0.75,0,1.26
 48-58,0,0,0,0,28.23,0,0,123.8,5.56,12.41,30.46,4.64,0,0,2.19,0,3.62,0,0.88,0,7.67,91.37,0,6.66,26.83,85.28,4.97,0,0.64,0,0.73,0,0,4.04,11.91,0,58.96,0,0.41,0,9.33
 60-70,0,0,0,0,31.4,0,0,1047.68,8.38,1.32,17.85,3.53,0,0,6.45,0.6,0,0,0,2.6,10.07,144.67,0,0.64,25.5,111.64,5.7,0,0,0,9.6,0,0,0.87,4.96,0,36.28,3.52,0,0,7.06
 72-82,0,0,0,0,29.28,0.88,1.8,1293.42,3.58,4.97,13.69,9.25,4.03,0,0,0.58,1.02,0,1.66,0,5.18,132.8,0,4.97,15.11,160.94,0,0,1.77,0,26.26,7.64,0,0.73,0,0,32.05,2.96,3.76,0.52,5.64
 84-94,0,0,0,0,31.87,5.36,1.54,706.51,1.74,5.01,19.09,42.78,0.98,0,3.38,1.03,2.4,0.66,3.19,8.51,15.44,92.22,0,20.42,11.48,96.96,0,0,8.21,0,6.6,10.46,0,0.67,0.61,0,14.92,3.88,3.16,4.05,0
 96-106,0,0,1.36,0,31.25,4.39,4.09,718.32,2.02,6.69,12.5,34.88,0,0,0,6.32,0,4.94,0,2.9,6.75,87.8,0,4.32,10.93,132.41,0,1.03,0,0,12.11,7.39,0,0,0,0,4.33,4.88,1.05,2.48,9.89
108-118,0,0,1.56,0.49,54.16,0,26.79,463.21,8.42,25.26,6.32,18.83,0,0,0,0,0.94,6.09,4.19,3.83,12.63,60.12,0,7.41,16.83,170.07,1.02,0.57,0,0,15.39,3.23,0,7.03,1.41,0,16.87,5.07,6.31,3,2.03
120,0,0,0,0,87.65,2.35,11.22,411.18,25.08,32.34,18.56,27.1,0,0,6.72,0,0,1.17,0,11.11,1.79,101.32,1.05,41.19,18.47,368.83,2.85,17.83,0,0,64.21,5.79,0,3.14,1.21,0,22.27,6.76,1.44,0,0
