stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,58.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,68.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.16,0,0,0,0,0,0,0,0,5.77,0,0,0,0,0,0,9.27,0,0,5.24,0,0,0,0,0,0,0
 10-12,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,0,2.3,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0.86,17.74,0,0,0,0,0,0.9,3.79,0,0,0
 24-34,0,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0.82,1.09,0,41.26,11.26,6.4,0,0,0.71,0.95,21.79,0,0,0
 36-46,0,0,0,13.81,0,0.66,0,0.92,0,0,0,0,0,0,0,0,0,0.92,107.39,31.12,0,0,0,0,0,47.09,0,0,0
 48-58,0,0,0,2.79,0,15.68,0,0,0.43,3.69,0,0,0,0,0,0.86,0,0,138.7,24.5,2.99,0,0,0,0,42.16,0,0,0
 60-70,0,0,0,0,0,21.08,0,1.61,0,3.75,0,0,0.77,0,0,0,2.04,0,163.54,11.55,0,0,7.88,0,0,42.88,0,0,0
 72-82,0,0,0,1.08,0,16.71,0,0,1.08,0,0,0,0,0,0,2.41,1.31,0,231.93,30.14,4.22,0,0,0,0,29.33,0,0,3.02
 84-94,0,0,0,0.64,0.65,37.5,0,0,0,5.65,0,0,0,4.06,2.14,0.9,5.58,0,122.76,35.77,8.9,0,0,0,0,17.58,0,0,0
 96-106,0,1.93,0,4.5,0,21.74,0,0,0,4.48,0,0,0,0,0,4.24,9.48,0,178.63,50.1,5.1,0,0,0,0,17.87,0,0,0
108-118,0,1.84,0,3.33,0,26.41,1.08,0,0,10.41,0.43,0,0,0,0.67,0.79,1.27,0,179.29,18.69,0.76,0,1.39,0,0,13.59,1.39,1.15,0
120,0,11.35,0,5.65,1.39,81.3,0,0,0,23.7,0,0,0,0,1.19,0,0,0,276.25,61.39,4.59,0,1.68,0,0,43.21,0,0,0
