stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,64.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0
  5-6,0,21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5,0,0,0,10.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.09,0,0,0,0,0,15.69,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,158.77,0,0,0,38.38,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.91,0,8.51,2.2,0,0,0,0,0,0,1,1.07,0,0,0,0,0,0,1.95,0,0,3.31,0,0,0,0,0,0,0,0,0,9.06,0,0,0,0,0
 24-34,0,0,0,0,1.74,0,0,6.36,0,0,0,0,0,8.46,0,0,0,0,0,0,27.96,0,19.97,43.62,1.25,0,0.67,0,0,0,0,0,0.68,35.21,0,0,9.49,0,0
 36-46,0,0,0,0,1.65,0,0,11.16,0,0,0.63,4.87,0,5.61,0,0,0,0,0,0,86.32,0,50.33,36.16,1.23,0,0.63,0,0.97,1.88,3.52,0,0,35.17,0,1.37,9.89,0.78,0
 48-58,0,0,0,0,5.08,0.45,0,27.27,0,0,1.8,3.01,0,4.45,0.49,0,0,2.69,0,2.3,190.06,5.49,58.06,52.68,0,0,0,0,0,0,3.45,1.65,0,26.3,0,3.01,8.93,1.62,0
 60-70,0,0,0,0,4.21,0.67,0,19.84,0,0,4.78,0.78,0.72,5.69,8.59,0.71,0,1.85,3.8,0,410.26,26.05,38.59,63.48,1.13,0,0,0,50.62,2.27,0,0.71,0,21.1,0,89.27,17.36,29.1,0
 72-82,0,0,0,0,1.41,8.93,0,90.81,2.66,0,8.63,8.52,1.34,22.39,14.25,0.93,0,0.92,0.79,0,685.45,46.94,41.04,64.76,0,1.09,3.56,0,38.37,0.54,2.46,0,0,13.82,0,98.72,19.7,94.32,3.15
 84-94,0,0,0,0,1.82,2.56,1.31,68.3,0,0,16.44,3.25,0.64,20.49,15.32,0.65,0,0.8,4.98,0,616.47,59.85,29.9,14.58,0,0,3.16,0,32.33,2.6,6.11,0,0,15.34,0.57,106.33,19.6,119.81,0
 96-106,0,0,0,0,8.5,20.61,0,43.69,0.76,1.24,3.76,9.2,2.63,18.44,18.73,0,0.85,1.17,6.04,7.67,641.42,39.17,23.6,68.08,0,1.32,3.69,0,69.33,3.92,5.54,0,0,15.97,1.66,144.42,29.23,107.94,0
108-118,3.95,0,0,1.05,5.7,2.58,2.29,65.66,2.37,2.14,10.21,9.67,3.22,10.22,12.89,0,0,1.78,8.31,0,630.54,64.17,20.14,64.76,5.84,0,9.12,0,124.72,7.06,8.86,0,0,2.92,0,190.66,46.1,100.26,1.98
120,0,0,0,0,6.82,15.04,0,71.54,0,1.55,5.18,0,1.84,40.88,25.28,0,0,0,6,0,680.5,56.86,50.45,157.56,1.42,0,17.74,0,83.48,1.42,2.29,0,0,36.82,0,131.1,8.08,100.13,0
